npp_capacity,grid_capacity,industry_demand_thermal_capacity,industry_demand_electricity_capacity,desalination_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-desalination_capacity,prefix,ProbabilityWeight-npp_capacity,PointProbability,ProbabilityWeight
1000.0,1e+200,-186.45,-357.0,100.0,-5594374.16114,0.0954223469425,-5594374.11264,-5594374.09972,-5594374.27107,-5594374.25523,-5594374.10101,3.0,0.00910542429602,0.165551839465,3,0.117794486216,1.67643188238e-09,0.0195010938718
300.0,1e+200,-186.45,-357.0,100.0,-2393974.10735,0.214544274687,-2393974.18439,-2393973.86492,-2393974.27273,-2393974.26389,-2393973.89686,3.0,0.0460292458012,0.165551839465,2,0.0238095238095,1.67643188238e-09,0.00394171046345
50.0,1e+200,-186.45,-357.0,100.0,-1250974.07746,0.342733500628,-1250974.2003,-1250973.69023,-1250974.34184,-1250974.32769,-1250973.74124,3.0,0.117466252453,0.165551839465,1,0.0062656641604,1.67643188238e-09,0.00103729222722
5000.0,1e+200,-186.45,-357.0,100.0,-23882374.0131,0.406249274251,-23882373.8247,-23882373.7352,-23882374.4793,-23882374.4138,-23882373.7441,3.0,0.16503847283,0.165551839465,4,0.225563909774,1.67643188238e-09,0.03734252018
10000.0,1e+200,-186.45,-357.0,100.0,-46742374.2018,0.0785663470558,-46742374.1939,-46742374.1275,-46742374.284,-46742374.275,-46742374.1341,3.0,0.00617267088969,0.165551839465,5,0.375939849624,1.67643188238e-09,0.0622375336334
20000.0,1e+200,-186.45,-357.0,100.0,-92462374.0785,0.182647799864,-92462374.099,-92462373.8865,-92462374.25,-92462374.2349,-92462373.9077,3.0,0.0333602187952,0.165551839465,6,0.250626566416,1.67643188238e-09,0.0414916890889
300.0,1e+200,-186.45,-357.0,10000.0,-9853281.41574,0.157474297534,-9853281.42732,-9853281.25279,-9853281.5671,-9853281.55313,-9853281.27025,3.0,0.024798154384,0.5,8,0.0238095238095,1.67643188238e-09,0.0119047619048
50.0,1e+200,-186.45,-357.0,10000.0,-8710281.4886,0.0704220897674,-8710281.51466,-8710281.40886,-8710281.54228,-8710281.53951,-8710281.41944,3.0,0.00495927072721,0.5,7,0.0062656641604,1.67643188238e-09,0.0031328320802
1000.0,1e+200,-186.45,-357.0,10000.0,-13053681.5324,0.172835864405,-13053681.5811,-13053681.3404,-13053681.6756,-13053681.6662,-13053681.3645,3.0,0.0298722360246,0.5,9,0.117794486216,1.67643188238e-09,0.0588972431078
5000.0,1e+200,-186.45,-357.0,10000.0,-31341681.5045,0.23858019635,-31341681.4007,-31341681.3354,-31341681.7774,-31341681.7398,-31341681.342,3.0,0.0569205100902,0.5,10,0.225563909774,1.67643188238e-09,0.112781954887
10000.0,1e+200,-186.45,-357.0,10000.0,-54201681.6725,0.104856426095,-54201681.6923,-54201681.5592,-54201681.766,-54201681.7587,-54201681.5725,3.0,0.0109948700935,0.5,11,0.375939849624,1.67643188238e-09,0.187969924812
20000.0,1e+200,-186.45,-357.0,10000.0,-99921681.6842,0.210820621156,-99921681.6959,-99921681.4678,-99921681.8889,-99921681.8696,-99921681.4906,3.0,0.0444453343046,0.5,12,0.250626566416,1.67643188238e-09,0.125313283208
300.0,1e+200,-186.45,-357.0,30000.0,-15430768.5437,0.192357486279,-15430768.5553,-15430768.3458,-15430768.73,-15430768.7125,-15430768.3667,3.0,0.0370014025275,0.334448160535,14,0.0238095238095,1.67643188238e-09,0.00796305144131
50.0,1e+200,-186.45,-357.0,30000.0,-14287768.3979,0.0630427476982,-14287768.4317,-14287768.3252,-14287768.4368,-14287768.4363,-14287768.3358,3.0,0.00397438803734,0.334448160535,13,0.0062656641604,1.67643188238e-09,0.00209553985298
1000.0,1e+200,-186.45,-357.0,30000.0,-18631168.3186,0.15615968383,-18631168.3567,-18631168.1469,-18631168.4521,-18631168.4426,-18631168.1679,3.0,0.0243858468538,0.334448160535,15,0.117794486216,1.67643188238e-09,0.039396149236
5000.0,1e+200,-186.45,-357.0,30000.0,-36919168.437,0.144398117964,-36919168.4603,-36919168.2823,-36919168.5683,-36919168.5575,-36919168.3001,3.0,0.0208508164716,0.334448160535,16,0.225563909774,1.67643188238e-09,0.0754394347072
10000.0,1e+200,-186.45,-357.0,30000.0,-59779168.5037,0.23918263794,-59779168.5987,-59779168.2316,-59779168.6808,-59779168.6726,-59779168.2683,3.0,0.0572083342918,0.334448160535,17,0.375939849624,1.67643188238e-09,0.125732391179
20000.0,1e+200,-186.45,-357.0,30000.0,-105499168.475,0.12213108763,-105499168.537,-105499168.334,-105499168.554,-105499168.552,-105499168.354,3.0,0.0149160025657,0.334448160535,18,0.250626566416,1.67643188238e-09,0.0838215941191
