hour,solar_cf,demand
153,0.337185037,-25320.6888
154,0.528645942,-25618.42828
155,0.644717436,-25335.43501
156,0.775407504,-25557.50362
157,0.730939002,-25365.20209
158,0.614524499,-25347.83367
159,0.573152854,-25255.99604
160,0.515917153,-25394.04646
161,0.31015584,-25454.79517
162,0.094391147,-25492.35594
163,0,-26577.94458
164,0,-31390.06626
165,0,-32155.40985
166,0,-29437.83324
167,0,-25842.8659
168,0,-22062.46371
169,0,-19732.07947
170,0,-18911.13289
171,0,-18494.46242
172,0,-18489.20082
173,0,-19141.90502
174,0,-22039.56046
175,0.007718899,-24082.96589
176,0.114197439,-24226.08478
177,0.256516638,-25256.54595
178,0.526365364,-25910.01064
179,0.635974885,-25818.83822
180,0.546013668,-25735.07324
181,0.359020092,-25767.24796
182,0.509690018,-25074.46377
183,0.32252233,-25418.58771
184,0.46854058,-25535.93936
185,0.249896258,-25530.3001
186,0.071348005,-25501.49006
187,0,-27482.19836
188,0,-31836.38078
189,0,-31395.62541
190,0,-28962.27808
191,0,-24865.37319
192,0,-21809.26899
193,0,-19956.12654
194,0,-18784.06917
195,0,-18356.34333
196,0,-17854.42295
197,0,-18153.96494
198,0,-18926.82756
199,0.004894348,-20661.36947
200,0.078731901,-22575.37222
201,0.371568372,-25230.38044
202,0.334207846,-26634.75066
203,0.671632747,-27002.26425
204,0.563579071,-27129.61552
205,0.841816518,-25650.75464
206,0.789044234,-25331.46235
207,0.578618742,-25129.26421
208,0.520896191,-24918.06213
209,0.302975353,-24458.80104
210,0.101752635,-24417.17176
211,0,-25911.90327
212,0,-30034.00889
213,0,-29982.56883
214,0,-27692.37473
215,0,-24394.1512
216,0,-21271.85215
217,0,-19024.77653
218,0,-18584.70783
219,0,-17603.35548
220,0,-17398.04158
221,0,-16082.77948
222,0,-17170.29079
223,0.006766029,-17869.0962
224,0.118626211,-19097.63207
225,0.197873961,-20947.6373
226,0.372258857,-22014.07218
227,0.448110563,-22574.99026
228,0.57974676,-22151.43593
229,0.728473498,-22297.54183
230,0.710467495,-22067.25037
231,0.639444921,-22470.7926
232,0.493101861,-21852.8424
233,0.316100763,-22471.41918
234,0.10303994,-22739.26369
235,0,-25043.19803
236,0,-28977.28179
237,0,-28300.15793
238,0,-25748.20578
239,0,-21584.17904
240,0,-17753.78739
241,0,-16342.94746
242,0,-15737.6148
243,0,-15145.00268
244,0,-15184.06554
245,0,-15776.08541
246,0,-17654.47151
247,0.005732711,-21173.45898
248,0.134535426,-20711.10788
249,0.296167358,-23681.54589
250,0.418123008,-24867.95464
251,0.477489018,-25443.12538
252,0.782440068,-25299.52582
253,0.777570954,-25179.90816
254,0.740851818,-24996.29299
255,0.653468474,-25122.99621
256,0.52420921,-25168.56525
257,0.314723184,-25666.5287
258,0.105728499,-25825.15343
259,0.000288117,-28277.16097
260,0,-32374.52936
261,0,-31098.11553
262,0,-28756.98779
263,0,-24470.47655
264,0,-21349.12167
265,0,-19615.67771
266,0,-19128.82971
267,0,-18719.14609
268,0,-18457.28504
269,0,-19556.09204
270,0,-22674.52858
271,0.005060382,-24629.43102
272,0.140293922,-24858.18177
273,0.341063579,-25823.59483
274,0.417908618,-26127.84908
275,0.558215592,-25644.59322
276,0.70394196,-25867.95791
277,0.721042986,-25888.80689
278,0.730638301,-25749.27584
279,0.62906907,-25694.95606
280,0.52352645,-25410.88558
281,0.302692959,-25887.81122
282,0.08746037,-26451.99526
283,0.000182051,-28686.53488
284,0,-32956.80641
285,0,-32398.09854
286,0,-29756.41598
287,0,-24959.41817
288,0,-21146.7254
289,0,-20237.57553
290,0,-17349.44762
291,0,-17770.99344
292,0,-18289.30803
293,0,-19005.62349
294,0,-22284.93359
295,0.005426744,-25089.49823
296,0.099822697,-25180.31444
297,0.278995662,-25630.45571
298,0.364360208,-26214.77202
299,0.643408402,-26402.03941
300,0.619445808,-26281.23295
301,0.770697759,-25819.3239
302,0.715673486,-25202.24062
303,0.479215132,-25499.24194
304,0.462975032,-25726.01422
305,0.226484328,-25966.19801
306,0.073729223,-25679.60831
307,0.000228047,-28110.548
308,0,-31976.56917
309,0,-31695.23249
310,0,-30098.93412
311,0,-25747.67862
312,0,-22023.89225
313,0,-20031.19086
314,0,-19328.21393
315,0,-18708.61192
316,0,-18457.68607
317,0,-19482.28138
318,0,-22282.80754
319,0.004017636,-25178.70358
320,0.126572585,-25133.49523
321,0.31751147,-25888.92677
322,0.383044557,-26406.91175
323,0.586874108,-26137.71622
324,0.74138024,-25767.45939
325,0.704518185,-25874.96851
326,0.533980772,-25636.51857
327,0.616984901,-25618.48064
328,0.46620789,-25836.564
329,0.251606449,-25747.52283
330,0.04943491,-25792.01037
331,0,-27742.85631
332,0,-32473.4361
333,0,-31898.93486
334,0,-29679.93111
335,0,-25383.24002
336,0,-22069.94411
337,0,-19785.21617
338,0,-19083.06325
339,0,-18605.14194
340,0,-18448.06651
341,0,-19109.68882
342,0,-21729.1877
343,0.003325312,-24711.61409
344,0.149748307,-24686.35584
345,0.359377286,-25736.81795
346,0.498256689,-26107.25332
347,0.624838747,-26027.10193
348,0.72419529,-26018.19327
349,0.778650194,-25723.12063
350,0.728952826,-25181.75458
351,0.655554524,-25476.99631
352,0.528528653,-25698.22461
353,0.35281894,-25997.10825
354,0.115122978,-25773.68004
355,0.000140606,-27068.31462
356,0,-31810.01843
357,0,-31854.01672
358,0,-29322.90496
359,0,-25834.5944
360,0,-22384.96046
361,0,-20099.82696
362,0,-19291.77258
363,0,-18869.71176
364,0,-18450.41048
365,0,-18534.60034
366,0,-19512.03868
367,0.004307951,-21423.97455
368,0.126821582,-23305.54765
369,0.331438673,-25616.75381
370,0.520202214,-26558.03906
371,0.633377479,-26153.3973
372,0.767738455,-26066.2316
373,0.776505369,-25897.92828
374,0.760175199,-25149.76513
375,0.5474658,-24691.64133
376,0.512208234,-24366.12696
377,0.298127481,-24346.22903
378,0.095039597,-24426.6156
379,0.000701661,-26589.06103
380,0,-31091.99989
381,0,-30937.5853
382,0,-28513.23333
383,0,-24595.2571
384,0,-21407.2782
385,0,-19227.92885
386,0,-18203.79705
387,0,-17595.16838
388,0,-17102.39787
389,0,-17310.6816
390,0,-17947.98297
391,0.003697,-19275.72099
392,0.114613975,-20965.65691
393,0.271085588,-23013.4905
394,0.472152639,-22677.94047
395,0.498232112,-21720.57345
396,0.663720998,-21320.08432
397,0.699800352,-20854.13851
398,0.727126483,-21015.34768
399,0.307476402,-20972.2867
400,0.234830249,-21041.88742
401,0.284020461,-19959.73298
402,0.092480189,-20958.68809
403,0,-23200.78964
404,0,-28452.05045
405,0,-28714.169
406,0,-25903.89214
407,0,-21788.68753
408,0,-18123.80016
409,0,-16707.08922
410,0,-15747.41843
411,0,-15634.94212
412,0,-15256.14142
413,0,-15862.60708
414,0,-18963.22457
415,0.003345518,-21457.55836
416,0.116881258,-21970.30235
417,0.234946434,-23769.43403
418,0.465618987,-24561.23496
419,0.573202756,-24971.58809
420,0.64081518,-24348.90332
421,0.693386775,-24659.18308
422,0.717070859,-24209.22892
423,0.637990548,-24049.49094
424,0.511617324,-24985.45536
425,0.314539066,-25428.83381
426,0.113842205,-25364.53416
427,0.001297112,-27524.20631
428,0,-32372.91712
429,0,-32106.12922
430,0,-29617.07591
431,0,-24712.20248
432,0,-21549.18398
433,0,-19716.06293
434,0,-19021.01702
435,0,-19074.68875
436,0,-18303.49131
437,0,-19234.65678
438,0,-22197.5586
439,0.002150768,-24304.14526
440,0.117075993,-24378.75265
441,0.294760191,-25146.53993
442,0.436172161,-25744.40507
443,0.6576697,-25761.31771
444,0.761315846,-25601.82349
445,0.795948616,-25570.85045
446,0.598863967,-25094.04412
447,0.651084278,-25165.06453
448,0.505876031,-25915.97006
449,0.374472709,-26037.33444
450,0.123102965,-26012.81694
451,0.000490545,-27622.05214
452,0,-32719.47087
453,0,-32255.5576
454,0,-29634.04592
455,0,-25000.2864
456,0,-21751.74334
457,0,-19870.97249
458,0,-19209.36735
459,0,-18699.70478
460,0,-18567.48675
461,0,-19511.19251
462,0,-22519.41445
463,0.004789767,-25169.70527
464,0.104007992,-25611.46661
465,0.12771495,-26217.02587
466,0.471500569,-26821.57229
467,0.497730357,-26321.07074
468,0.576246636,-26741.58313
469,0.646262035,-26534.97315
470,0.759991419,-25637.38663
471,0.690857309,-25863.14093
472,0.45786685,-26119.78588
473,0.344769254,-26272.16535
474,0.130165051,-26190.75822
475,0.000430047,-27329.08215
476,0,-32680.0704
477,0,-32723.02152
478,0,-30115.39771
479,0,-25554.11605
480,0,-22323.43496
481,0,-20381.01558
482,0,-19302.70563
483,0,-19082.61119
484,0,-18935.01179
485,0,-19391.33737
486,0,-22657.01281
487,0.002233044,-25332.52754
488,0.134417908,-24874.59172
489,0.305335118,-25921.80932
490,0.444957742,-26455.19628
491,0.709993719,-25975.65873
492,0.702606921,-26041.21755
493,0.70814356,-25936.73664
494,0.734378976,-25131.04783
495,0.607785218,-25524.30892
496,0.416270034,-25787.07809
497,0.345170778,-25937.67909
498,0.107276968,-25489.57465
499,0.000715679,-27545.56156
500,0,-32316.33206
501,0,-32420.13488
502,0,-29741.90438
503,0,-25581.22515
504,0,-21944.98903
505,0,-20306.14368
506,0,-19475.10307
507,0,-18816.79393
508,0,-18469.01348
509,0,-19101.88154
510,0,-22397.83907
511,0.0021833,-25079.98701
512,0.084751119,-24790.60257
513,0.237311222,-25829.11751
514,0.46928903,-26783.44945
515,0.556897108,-26698.07853
516,0.558763431,-26566.16607
517,0.694207518,-26312.74675
518,0.650632436,-25675.90115
519,0.565111314,-25784.52439
520,0.437087929,-26004.81711
521,0.313527038,-26204.45311
522,0.116774157,-25954.89287
523,0.001720149,-27238.61285
524,0,-32636.89111
525,0,-31885.17788
526,0,-30402.64332
527,0,-26784.34641
528,0,-22521.85141
529,0,-20484.88207
530,0,-20276.49533
531,0,-19694.47507
532,0,-19659.35197
533,0,-19615.98885
534,0,-20031.56066
535,0.002757577,-22123.60969
536,0.075594214,-24050.1098
537,0.187237956,-26290.28439
538,0.324976961,-27050.61702
539,0.517560472,-26776.80021
540,0.501255336,-26529.91111
541,0.789307939,-25753.09844
542,0.706800621,-25207.27677
543,0.657091378,-25284.21798
544,0.477942169,-24698.37555
545,0.289226991,-24439.90063
546,0.080210842,-24276.74389
547,0.00126153,-25842.62199
548,0,-30827.86139
549,0,-30877.98819
550,0,-28706.84525
551,0,-24135.88157
552,0,-21126.98583
553,0,-18905.48003
554,0,-18271.5648
555,0,-17851.99315
556,0,-17603.3333
557,0,-17500.24719
558,0,-18370.85707
559,0.003619207,-18560.12095
560,0.08529152,-20499.14503
561,0.205410572,-22974.43579
562,0.293622231,-22559.79872
563,0.434626607,-22000.80417
564,0.556551392,-21521.7078
565,0.442785305,-21621.99231
566,0.590198099,-21442.23621
567,0.542851741,-21476.90954
568,0.436884739,-21238.20296
569,0.311648012,-21359.87547
570,0.135222726,-21798.52277
571,0.00069911,-23182.13414
572,0,-28420.04525
573,0,-28712.96089
574,0,-26076.78884
575,0,-22168.34014
576,0,-18430.42557
577,0,-16553.39492
578,0,-15702.13192
579,0,-15340.94427
580,0,-15194.95853
581,0,-16073.77411
582,0,-19236.7926
583,0.006196332,-22276.89228
584,0.094648169,-22328.90828
585,0.335052912,-23576.0623
586,0.376331162,-24575.92209
587,0.615557266,-24916.12172
588,0.645114096,-25007.90184
589,0.833378266,-24827.75434
590,0.77391191,-24467.71343
591,0.709923924,-24864.61471
592,0.562011972,-25506.09704
593,0.352896571,-25853.60883
594,0.137448249,-25771.73991
595,0.000871875,-27522.2855
596,0,-32461.37648
597,0,-32470.56067
598,0,-30235.38589
599,0,-25934.93528
600,0,-22389.27073
601,0,-20498.42732
602,0,-19632.34945
603,0,-19419.25903
604,0,-19461.33465
605,0,-19890.07332
606,0,-23019.85706
607,0.001755398,-25518.71257
608,0.115603184,-25155.27264
609,0.334839579,-26060.02712
610,0.50203923,-26335.28764
611,0.661939745,-26339.1184
612,0.68162368,-26241.7797
613,0.828575057,-26344.89929
614,0.71676743,-25793.43492
615,0.71455797,-25798.20469
616,0.556408825,-26451.13378
617,0.360133157,-25963.50212
618,0.088499128,-25851.76055
619,0.001203998,-27556.77228
620,0,-33025.28729
621,0,-32943.00723
622,0,-30493.07686
623,0,-26202.43273
624,0,-22827.88599
625,0,-21084.31009
626,0,-19964.40519
627,0,-19520.28514
628,0,-19195.26775
629,0,-20078.90717
630,0,-23213.72076
631,0.001805421,-25811.54237
632,0.083224686,-25503.87194
633,0.303811122,-26438.39779
634,0.352925424,-26016.3756
635,0.52045519,-25916.58549
636,0.561998052,-26016.92493
637,0.554580151,-25718.96228
638,0.596732936,-25109.99028
639,0.594239686,-25685.86486
640,0.423608671,-25898.88661
641,0.262915988,-25681.86931
642,0.130184093,-25945.82899
643,0.000646992,-27389.42944
644,0,-32763.63224
645,0,-32565.5112
646,0,-30265.9269
647,0,-26375.65775
648,0,-22747.71315
649,0,-20799.96565
650,0,-19744.6591
651,0,-19093.25956
652,0,-19111.50778
653,0,-19824.14956
654,0,-23085.46466
655,0.002241391,-25450.93481
656,0.10587044,-25560.88761
657,0.30939354,-25774.64752
658,0.500756571,-26475.22111
659,0.645258213,-26140.86932
660,0.734397664,-25624.90228
661,0.782024958,-25948.12575
662,0.712275827,-25572.14039
663,0.646502904,-25993.83212
664,0.533443713,-26194.51959
665,0.321105788,-26376.88159
666,0.101577099,-25944.76537
667,0.00221286,-27925.40929
668,0,-32617.5056
669,0,-33033.42074
670,0,-30247.07427
671,0,-26068.782
672,0,-22804.90906
673,0,-20696.31304
674,0,-19699.73381
675,0,-19000.01856
676,0,-18956.24344
677,0,-19505.52677
678,0,-22273.19585
679,0.001267667,-25278.39646
680,0.082629849,-24740.88949
681,0.265038529,-25918.00246
682,0.443552685,-26334.92614
683,0.728547756,-26648.75513
684,0.670279853,-26931.72694
685,0.765255582,-26841.4987
686,0.664647668,-26010.30359
687,0.619575781,-26398.03098
688,0.546509389,-26924.74867
689,0.360811904,-26511.46863
690,0.124242426,-25695.75789
691,0.00107444,-27186.63547
692,0,-32315.6461
693,0,-32392.1281
694,0,-30108.48739
695,0,-26261.92469
696,0,-22682.99964
697,0,-19506.96163
698,0,-18814.28473
699,0,-18232.02413
700,0,-18195.08137
701,0,-18853.51067
702,0,-20434.977
703,0.001770669,-22145.07352
704,0.137946828,-24129.57995
705,0.307095312,-26190.04909
706,0.469291764,-26781.90588
707,0.550518345,-26760.25865
708,0.762012645,-26723.00689
709,0.691651334,-25959.68896
710,0.740745252,-25165.11045
711,0.641989047,-25084.56423
712,0.515262255,-24683.4983
713,0.333554715,-24739.59912
714,0.127772759,-24643.66294
715,0.002168689,-25862.52965
716,0,-30597.75733
717,0,-30693.15276
718,0,-28388.84761
719,0,-25307.81734
720,0,-21580.42597
721,0,-19693.06668
722,0,-18470.45334
723,0,-17906.50962
724,0,-17583.77541
725,0,-17748.54153
726,0,-18746.88893
727,0.001250897,-19249.41014
728,0.047046641,-21038.2847
729,0.202742343,-23110.35854
730,0.25765511,-23414.91321
731,0.345482468,-23198.09762
732,0.469618174,-22511.6694
733,0.655557795,-21907.07491
734,0.614451358,-21890.74937
735,0.692711175,-21757.55284
736,0.486191699,-21212.45818
737,0.29456033,-20614.83337
738,0.109912545,-20571.46167
739,0.00174752,-22907.46086
740,0,-28728.16559
741,0,-29134.36437
742,0,-26088.80053
743,0,-21730.68693
744,0,-18113.19686
745,0,-16228.12361
746,0,-15930.36696
747,0,-15382.23379
748,0,-15227.47587
749,0,-15980.32209
750,0,-19225.77515
751,0.003652395,-21948.0726
752,0.107858192,-22284.28269
753,0.245567268,-24222.57633
754,0.195709078,-24511.49212
755,0.477792849,-24982.20341
756,0.590037883,-24727.44938
757,0.668025603,-24590.54484
758,0.705789412,-22735.42392
759,0.61994768,-23659.67979
760,0.518943561,-24552.26307
761,0.367682147,-25105.37458
762,0.14011413,-24660.4992
763,0.001694771,-25980.53364
764,0,-31393.2843
765,0,-31913.52156
766,0,-29443.14563
767,0,-24533.12218
768,0,-21000.89917
769,0,-18945.09938
770,0,-18406.75124
771,0,-18017.58184
772,0,-17990.3726
773,0,-18492.67064
774,0,-22016.99696
775,0.001722468,-24681.70009
776,0.145427199,-24653.80418
777,0.228968359,-25684.49367
778,0.431988966,-26050.14467
779,0.540170497,-25906.20177
780,0.467265817,-26048.6855
781,0.676515205,-25789.72562
782,0.799383235,-25501.92567
783,0.547322813,-25566.81584
784,0.493876269,-25647.92857
785,0.255365456,-25532.39658
786,0.12882839,-25344.16357
787,0.002253149,-27127.44178
788,0,-32083.38619
789,0,-32035.06189
790,0,-29376.28128
791,0,-25933.49685
792,0,-22186.08909
793,0,-20066.17162
794,0,-19470.22915
795,0,-18974.96946
796,0,-18826.13405
797,0,-19387.74309
798,0,-22738.34227
799,0.001165483,-25130.60965
800,0.107465067,-25015.1635
801,0.30735014,-26049.7155
802,0.528163741,-26840.41433
803,0.676456139,-26890.9703
804,0.769671237,-26720.419
805,0.807110252,-26626.60291
806,0.719842849,-26024.22293
807,0.653970237,-26338.88879
808,0.542368858,-26504.97675
809,0.351163546,-26710.20481
810,0.139721767,-26341.29213
811,0.001771217,-28026.89175
812,0,-32682.5045
813,0,-32333.59104
814,0,-30434.18001
815,0,-26161.64247
816,0,-22816.10748
817,0,-20822.36535
818,0,-19881.37194
819,0,-19498.64006
820,0,-19429.54404
821,0,-20000.25143
822,0,-23087.94239
823,0.0002701,-25638.83021
824,0.092097228,-25804.31733
825,0.240069417,-26100.44314
826,0.313914978,-26647.8038
827,0.517453985,-26305.1562
828,0.784144433,-26431.50321
829,0.757108074,-26166.01999
830,0.62920777,-25388.11036
831,0.703497525,-25969.11778
832,0.475552865,-25775.04808
833,0.392954242,-25719.77126
834,0.153656173,-25290.51759
835,0.003281038,-26712.95148
836,0,-32218.14489
837,0,-32228.87409
838,0,-29646.31368
839,0,-25623.12267
840,0,-22264.6268
841,0,-19972.09802
842,0,-19775.53915
843,0,-19240.62435
844,0,-19346.97215
845,0,-20049.94907
846,0,-23223.13026
847,0.001223933,-24938.85746
848,0.123770729,-25174.9856
849,0.281494436,-26666.77302
850,0.42589635,-27122.1201
851,0.61137994,-26737.92905
852,0.777544279,-26559.65273
853,0.774922873,-26781.36084
854,0.738944588,-26079.49975
855,0.690853448,-26168.93833
856,0.5514796,-25944.99855
857,0.372794039,-26215.03095
858,0.136771546,-26160.01164
859,0.001916125,-27618.9248
860,0,-32473.75726
861,0,-32267.24169
862,0,-29883.901
863,0,-26105.76482
864,0,-22205.40164
865,0,-20264.01799
866,0,-19562.1569
867,0,-19218.30763
868,0,-18565.80084
869,0,-19047.41299
870,0,-20029.43485
871,0.001780272,-21602.42082
872,0.137085711,-23490.41599
873,0.264774961,-25910.06428
874,0.36959643,-26668.57553
875,0.476930248,-26366.35553
876,0.681467864,-26199.75258
877,0.655894701,-26065.59471
878,0.718233903,-25204.76985
879,0.69098977,-24992.76094
880,0.531111332,-24996.36595
881,0.363357907,-24550.8039
882,0.129827479,-24423.42688
883,0.002204632,-26296.57284
884,0,-30195.90602
885,0,-29742.53311
886,0,-26744.02323
887,0,-23561.40035
888,0,-20684.94581
889,0,-19208.95177
890,0,-18098.43706
891,0,-17504.0396
892,0,-16953.93226
893,0,-17174.52453
894,0,-17744.11609
895,0.001224088,-18617.90182
896,0.075081277,-20009.09229
897,0.272697885,-21824.21476
898,0.441346137,-22173.90072
899,0.611746514,-21132.9112
900,0.77215707,-21313.9342
901,0.772248349,-21253.24987
902,0.692286166,-21669.54267
903,0.625260266,-21615.89669
904,0.533458883,-21293.41998
905,0.361607048,-21650.48762
906,0.134941978,-22163.34319
907,0.002251275,-23247.76449
908,0,-27927.58231
909,0,-28366.79268
910,0,-25477.80643
911,0,-21431.09702
912,0,-18358.77027
913,0,-17099.50599
914,0,-16057.5723
915,0,-15534.76004
916,0,-15284.46935
917,0,-15720.33221
918,0,-18804.84733
919,0.001776566,-21698.12525
920,0.11742707,-21663.87766
921,0.274344223,-22958.0762
922,0.41987672,-24087.73179
923,0.652314393,-24231.84636
924,0.733771893,-25085.71869
925,0.759921476,-25015.936
926,0.713937695,-24331.6708
927,0.691644542,-25160.56557
928,0.479089916,-25656.51192
929,0.33102176,-25920.79348
930,0.115166485,-26039.41547
931,0.002802424,-28359.06766
932,0,-32200.80651
933,0,-31795.5004
934,0,-29676.18376
935,0,-25685.78117
936,0,-21817.51974
937,0,-20522.8062
938,0,-19561.1269
939,0,-19028.18627
940,0,-18784.16144
941,0,-19506.70842
942,0,-23237.2928
943,0.001287927,-26022.42043
944,0.091280081,-25622.26433
945,0.29599418,-26081.64559
946,0.552929146,-26246.01687
947,0.63417419,-26005.25371
948,0.771829544,-26526.34931
949,0.728751418,-25996.92786
950,0.807537669,-25684.23617
951,0.630422816,-26360.60468
952,0.44651416,-26613.81371
953,0.335722377,-26766.85496
954,0.115659305,-26504.63341
955,0.002211702,-28999.90108
956,0,-32779.58226
957,0,-32971.33445
958,0,-29802.87411
959,0,-25310.68848
960,0,-21222.26395
961,0,-20315.6898
962,0,-19425.08069
963,0,-19012.30706
964,0,-18664.76694
965,0,-19318.56123
966,0,-22437.83894
967,0.001683091,-24999.54179
968,0.071591327,-25357.81111
969,0.292452242,-26194.08756
970,0.530749671,-26844.96351
971,0.636085466,-26433.13405
972,0.661432389,-26861.70106
973,0.733052411,-26617.41872
974,0.780391969,-25878.82087
975,0.592127215,-26396.74062
976,0.601315188,-25870.75251
977,0.373150483,-25984.05282
978,0.129950937,-26150.05494
979,0.001478877,-27379.79248
980,0,-31633.78996
981,0,-31530.27467
982,0,-28239.5015
983,0,-24001.29739
984,0,-20631.55733
985,0,-18977.54447
986,0,-18880.38087
987,0,-18390.09953
988,0,-18358.68444
989,0,-19594.85949
990,0,-22450.19898
991,0.001716899,-25543.03995
992,0.123117026,-24299.56904
993,0.310606708,-25573.5967
994,0.527425411,-26400.86063
995,0.564558601,-26742.47823
996,0.746970739,-27508.62866
997,0.733965615,-26573.30027
998,0.694611836,-25816.24819
999,0.682806522,-25887.91922
1000,0.442788832,-25889.46423
1001,0.343447057,-25438.58049
1002,0.116056922,-24997.99679
1003,0.0027164,-26751.83409
1004,0,-32785.59061
1005,0,-32158.8339
1006,0,-29748.19813
1007,0,-26183.27253
1008,0,-21919.91919
1009,0,-20386.33083
1010,0,-19267.66193
1011,0,-18869.90917
1012,0,-18610.00513
1013,0,-19472.46082
1014,0,-22679.63211
1015,0.001221884,-25307.08347
1016,0.077816652,-25766.80806
1017,0.31919156,-26416.73984
1018,0.44447137,-26898.43782
1019,0.673174825,-26943.50045
1020,0.709941195,-26861.44356
1021,0.803198839,-25894.52841
1022,0.766280351,-25739.94215
1023,0.638346932,-25929.11934
1024,0.427655394,-26163.61665
1025,0.372315306,-26128.76822
1026,0.136682582,-26391.16144
1027,0.002302787,-27946.20819
1028,0,-31902.79236
1029,0,-31799.62041
1030,0,-29301.94941
1031,0,-25580.63505
1032,0,-22098.53885
1033,0,-20207.36784
1034,0,-19136.33657
1035,0,-18711.97541
1036,0,-18460.99805
1037,0,-18395.50704
1038,0,-19544.64685
1039,0,-21548.34567
1040,0.048746677,-23545.69281
1041,0.116486854,-26089.71394
1042,0.187734426,-27185.29361
1043,0.113612993,-26837.83933
1044,0.218479049,-26710.71981
1045,0.658500735,-26268.67693
1046,0.7027023,-25647.67107
1047,0.696591415,-25330.08686
1048,0.543564181,-25316.69683
1049,0.382568501,-25001.6018
1050,0.147737754,-25101.0829
1051,0.001987585,-26795.86671
1052,0,-31209.85796
1053,0,-31152.00614
1054,0,-28143.45373
1055,0,-24225.75217
1056,0,-20773.26855
1057,0,-18909.22095
1058,0,-17669.52672
1059,0,-17146.45695
1060,0,-17086.11595
1061,0,-17363.44421
1062,0,-17956.72584
