hour,solar_cf,demand
1,0,-18707.88044
2,0,-17241.6371
3,0,-16204.51009
4,0,-15815.83852
5,0,-15853.58813
6,0,-16027.07494
7,0.011697031,-15899.06275
8,0.135625671,-16502.35257
9,0.331881349,-17457.52569
10,0.521731,-19843.57872
11,0.57244069,-20273.17573
12,0.720231888,-20361.35256
13,0.749567375,-20618.50993
14,0.708976384,-20524.093
15,0.622890528,-20260.12474
16,0.485747214,-19668.77008
17,0.265818346,-19763.71917
18,0.079773687,-19675.17326
19,0,-22154.80205
20,0,-25885.52377
21,0,-25709.29028
22,0,-24038.67721
23,0,-20554.70983
24,0,-17564.61165
25,0,-15655.13089
26,0,-14419.24767
27,0,-13777.72758
28,0,-13276.44238
29,0,-13412.93492
30,0,-14137.1814
31,0.010257533,-15147.32233
32,0.152554885,-17106.61086
33,0.325971049,-19709.05032
34,0.53157461,-21342.36871
35,0.574523626,-21405.70101
36,0.730576239,-21420.24551
37,0.774779558,-21053.3113
38,0.727504307,-20819.77962
39,0.671766763,-20827.45743
40,0.537937116,-20501.62033
41,0.309185614,-20962.51226
42,0.092011645,-21374.59922
43,0,-23460.20043
44,0,-28692.82076
45,0,-27787.25945
46,0,-25748.4032
47,0,-22282.71837
48,0,-18915.93099
49,0,-17323.77981
50,0,-15813.12617
51,0,-15494.99263
52,0,-15308.87112
53,0,-15447.0975
54,0,-15980.58746
55,0.009042373,-16980.2567
56,0.131424303,-18529.41527
57,0.145230068,-20254.91033
58,0.350775616,-21007.0141
59,0.534689462,-20642.17423
60,0.649801753,-19817.42522
61,0.774812932,-19924.19789
62,0.63944803,-20020.1684
63,0.448837213,-19678.63234
64,0.520105381,-19676.34917
65,0.2966808,-19468.31435
66,0.102200338,-19685.54194
67,0,-22028.18036
68,0,-27239.41096
69,0,-27436.33033
70,0,-25069.69285
71,0,-20224.73125
72,0,-17149.057
73,0,-15310.54345
74,0,-14477.048
75,0,-14049.23633
76,0,-14194.51822
77,0,-14518.90045
78,0,-16667.79533
79,0.00858997,-18633.02354
80,0.116945785,-20698.60837
81,0.166043503,-22680.76296
82,0.501399655,-23459.46226
83,0.590065214,-24310.91409
84,0.662317042,-24348.13582
85,0.611168906,-25187.50229
86,0.625005895,-24600.39639
87,0.512839017,-24708.9501
88,0.460543312,-25426.78482
89,0.256324573,-25203.7377
90,0.076752818,-25076.44652
91,0,-27046.01792
92,0,-32002.64899
93,0,-31475.56221
94,0,-28425.15736
95,0,-24206.72931
96,0,-21181.76552
97,0,-19383.55084
98,0,-18468.03283
99,0,-17996.01687
100,0,-17918.50916
101,0,-18001.18405
102,0,-20395.66594
103,0.009069444,-23270.76431
104,0.110908606,-23574.56365
105,0.308384245,-25293.37227
106,0.532291348,-26063.96888
107,0.65592927,-26115.25444
108,0.758899163,-26246.95746
109,0.766191603,-26180.88278
110,0.737588578,-26078.964
111,0.638728421,-26269.90936
112,0.49841264,-26581.91009
113,0.292204135,-26125.14676
114,0.089760373,-26348.42991
115,0,-28515.95068
116,0,-32327.04695
117,0,-32043.779
118,0,-28880.33134
119,0,-25456.70497
120,0,-21658.10606
121,0,-19695.46216
122,0,-18760.30543
123,0,-18236.42883
124,0,-18170.88631
125,0,-18849.126
126,0,-21568.38495
127,0.008607684,-23749.33009
128,0.123253102,-23836.21941
129,0.33335637,-25261.20256
130,0.436735686,-25602.45966
131,0.66068348,-25521.65594
132,0.694807313,-26276.09868
133,0.785481055,-25828.15045
134,0.725739424,-25361.16434
135,0.639226317,-25136.6881
136,0.451132263,-25924.29263
137,0.287484223,-25561.05355
138,0.089827027,-25457.28077
139,0,-27743.49219
140,0,-32455.4461
141,0,-31887.33087
142,0,-29039.73358
143,0,-25409.2483
144,0,-21720.43053
145,0,-19881.46707
146,0,-18833.90271
147,0,-18227.12804
148,0,-17947.27628
149,0,-18653.46338
150,0,-21449.64637
151,0.007629243,-24275.59644
152,0.121981594,-24410.90448
