hour,solar_cf,price
325,0.704518185,12.9
326,0.533980772,13.3
327,0.616984901,14.2
328,0.46620789,15.1
329,0.251606449,16.2
330,0.04943491,17.2
331,0,16.7
332,0,15
333,0,14.7
334,0,14.8
335,0,16.3
336,0,18.1
337,0,19.6
338,0,19.3
339,0,18.9
340,0,18.3
341,0,17.8
342,0,16.5
343,0.003325312,15.4
344,0.149748307,16.1
345,0.359377286,16
346,0.498256689,16.6
347,0.624838747,17.2
348,0.72419529,17.7
349,0.778650194,19.3
350,0.728952826,21.1
351,0.655554524,22.1
352,0.528528653,23.2
353,0.35281894,23.7
354,0.115122978,24.1
355,0.000140606,22.1
356,0,20.7
357,0,21.3
358,0,22.5
359,0,24.6
360,0,27
361,0,31
362,0,32.5
363,0,32.6
364,0,31.9
365,0,30.5
366,0,26.6
367,0.004307951,22.4
368,0.126821582,19.2
369,0.331438673,16.7
370,0.520202214,15.4
371,0.633377479,14.9
372,0.767738455,14.5
373,0.776505369,15
374,0.760175199,15.8
375,0.5474658,16.7
376,0.512208234,17.6
377,0.298127481,18.1
378,0.095039597,19.2
379,0.000701661,19
380,0,17.2
381,0,16.5
382,0,17
383,0,18.7
384,0,21
385,0,22.9
386,0,23.8
387,0,23.9
388,0,22.2
389,0,20.1
390,0,18.1
391,0.003697,16.6
392,0.114613975,15.1
393,0.271085588,14.3
394,0.472152639,14.2
395,0.498232112,14.4
396,0.663720998,15.6
397,0.699800352,16.2
398,0.727126483,17.1
399,0.307476402,18.7
400,0.234830249,20
401,0.284020461,22.6
402,0.092480189,19.3
403,0,15.6
404,0,18.1
405,0,18
406,0,19.1
407,0,21.6
408,0,20.1
409,0,27
410,0,28.8
411,0,27.6
412,0,28.2
413,0,27.4
414,0,23.1
415,0.003345518,20.7
416,0.116881258,20.9
417,0.234946434,19.9
418,0.465618987,20.2
419,0.573202756,20.9
420,0.64081518,21.8
421,0.693386775,22.2
422,0.717070859,23.5
423,0.637990548,25.2
424,0.511617324,25.3
425,0.314539066,25.8
426,0.113842205,26.7
427,0.001297112,21.1
428,0,22.4
429,0,22.1
430,0,23.3
431,0,27.1
432,0,30.8
433,0,33.8
434,0,35.2
435,0,33.2
436,0,31.8
437,0,27.9
438,0,22.7
439,0.002150768,19.8
440,0.117075993,18.6
441,0.294760191,17.7
442,0.436172161,16.8
443,0.6576697,16.1
444,0.761315846,16.3
445,0.795948616,17
446,0.598863967,17.7
447,0.651084278,18.4
448,0.505876031,18.9
449,0.374472709,19.3
450,0.123102965,20
451,0.000490545,20.4
452,0,18
453,0,17.4
454,0,18.4
455,0,21
456,0,23.8
457,0,25.8
458,0,26.3
459,0,24.8
460,0,22.7
461,0,19.8
462,0,16.1
463,0.004789767,13.8
464,0.104007992,13
465,0.12771495,12.8
466,0.471500569,12.8
467,0.497730357,13.1
468,0.576246636,12.9
469,0.646262035,13.5
470,0.759991419,14.3
471,0.690857309,14.6
472,0.45786685,15.4
473,0.344769254,16
474,0.130165051,16.7
475,0.000430047,17.4
476,0,15.3
477,0,15
