"PVWatts Hourly PV Performance Data"
"Requested Location","Kenya"
"Location","LAMU/MANDA ISLAND, KENYA"
"Latitude (DD)","-2.27"
"Longitude (DD)","40.83"
"Elevation (m)","6"
"DC System Size (kW)","1100"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","2.27"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","2","0","0","0","26.3","4.1","0.12","0","26.3","0","0"
"1","2","1","0","0","25","3.2","0.12","0","25","0","0"
"1","2","2","0","0","23.8","2.2","0.12","0","23.8","0","0"
"1","2","3","0","0","22.5","1.2","0.12","0","22.5","0","0"
"1","2","4","0","0","22.1","0.6","0.12","0","22.1","0","0"
"1","2","5","0","0","21.7","0","0.12","0","21.7","0","0"
"1","2","6","79","22","23.3","0.8","0.12","26.29","24.044","15154.434","10257.533"
"1","2","7","333","102","25","1.5","0.12","192.562","30.132","162679.174","152554.885"
"1","2","8","395","188","26.6","2.3","0.12","381.37","35.36","342465.896","325971.049"
"1","2","9","591","231","27.8","3.1","0.12","630.022","40.335","555622.441","531574.61"
"1","2","10","590","207","29.1","3.8","0.12","687.263","41.333","600149.218","574523.626"
"1","2","11","807","160","30.3","4.6","0.12","884.449","44.372","761934.527","730576.239"
"1","2","12","815","186","29.8","5.5","0.12","934.978","43.084","807761.685","774779.558"
"1","2","13","746","213","29.4","6.5","0.12","867.687","40.423","758749.746","727504.307"
"1","2","14","804","163","28.9","7.4","0.12","788.068","38.058","700964.646","671766.763"
"1","2","15","803","119","28.1","6.8","0.12","619.984","35.77","562218.678","537937.116"
"1","2","16","633","90","27.4","6.2","0.12","360.324","32.136","325063.837","309185.614"
"1","2","17","371","56","26.6","5.6","0.12","130.484","28.36","99911.838","92011.645"
"1","2","18","27","7","26.3","5.6","0.12","7.255","26.381","3092.73","0"
"1","2","19","0","0","25.9","5.6","0.12","0","25.9","0","0"
"1","2","20","0","0","25.6","5.6","0.12","0","25.6","0","0"
"1","2","21","0","0","25.5","5.1","0.12","0","25.5","0","0"
"1","2","22","0","0","25.4","4.5","0.12","0","25.4","0","0"
"1","2","23","0","0","25.3","4","0.12","0","25.3","0","0"
"1","3","0","0","0","25.2","3.4","0.12","0","25.2","0","0"
"1","3","1","0","0","25.2","3.2","0.12","0","25.2","0","0"
"1","3","2","0","0","25.1","2.9","0.12","0","25.1","0","0"
"1","3","3","0","0","25.1","2.6","0.12","0","25.1","0","0"
"1","3","4","0","0","25","2.3","0.12","0","25","0","0"
"1","3","5","0","0","25","2.1","0.12","0","25","0","0"
"1","3","6","2","22","24.9","1.8","0.12","22.012","25.413","13894.634","9042.373"
"1","3","7","31","152","25.5","2.2","0.12","158.965","29.211","140772.345","131424.303"
"1","3","8","68","142","26.2","2.6","0.12","174.709","29.986","155085.275","145230.068"
"1","3","9","35","399","26.9","3","0.12","420.097","35.351","368181.675","350775.616"
"1","3","10","450","273","27.5","3.4","0.12","638.413","39.566","558851.719","534689.462"
"1","3","11","582","262","28.2","3.8","0.12","783.53","42.125","678192.737","649801.753"
"1","3","12","703","299","28.9","4.3","0.12","944.429","44.524","807796.285","774812.932"
"1","3","13","635","209","29.5","4.7","0.12","766.871","41.534","667458.663","639448.03"
"1","3","14","402","221","30.2","5.1","0.12","533.267","38.154","469845.631","448837.213"
"1","3","15","719","159","29.4","4.9","0.12","608.367","38.744","543731.883","520105.381"
"1","3","16","587","97","28.6","4.8","0.12","348.728","34.013","312099.651","296680.8"
"1","3","17","455","54","27.8","4.6","0.12","146.466","30.028","110474.819","102200.338"
"1","3","18","49","7","27.1","4.4","0.12","7.401","27.19","2851.854","0"
"1","3","19","0","0","26.3","4.3","0.12","0","26.3","0","0"
"1","3","20","0","0","25.5","4.1","0.12","0","25.5","0","0"
"1","3","21","0","0","25.5","4.3","0.12","0","25.5","0","0"
"1","3","22","0","0","25.5","4.4","0.12","0","25.5","0","0"
"1","3","23","0","0","25.4","4.6","0.12","0","25.4","0","0"
"1","4","0","0","0","25.4","4.8","0.12","0","25.4","0","0"
"1","4","1","0","0","25.4","4.9","0.12","0","25.4","0","0"
"1","4","2","0","0","25.4","5.1","0.12","0","25.4","0","0"
"1","4","3","0","0","25.6","4.7","0.12","0","25.6","0","0"
"1","4","4","0","0","25.8","4.3","0.12","0","25.8","0","0"
"1","4","5","0","0","25.9","3.8","0.12","0","25.9","0","0"
"1","4","6","6","22","26.1","3.4","0.12","22.24","26.482","13425.611","8589.97"
"1","4","7","124","113","26.3","3","0.12","145.659","29.225","125761.949","116945.785"
"1","4","8","69","166","26.5","2.6","0.12","198.891","30.809","176663.306","166043.503"
"1","4","9","487","266","27.1","3","0.12","593.474","39.098","524338.989","501399.655"
"1","4","10","526","280","27.7","3.4","0.12","707.209","41.071","616261.736","590065.214"
"1","4","11","470","384","28.3","3.8","0.12","804.012","42.57","691167.784","662317.042"
"1","4","12","445","330","29","4.3","0.12","738.119","41.195","638140.686","611168.906"
"1","4","13","498","316","29.6","4.7","0.12","753.095","41.401","652485.987","625005.895"
"1","4","14","364","331","30.2","5.1","0.12","613.321","39.336","536198.583","512839.017"
"1","4","15","487","237","29.4","4.8","0.12","541.251","37.806","481981.761","460543.312"
"1","4","16","382","139","28.7","4.4","0.12","302.881","33.657","270260.91","256324.573"
"1","4","17","135","76","27.9","4.1","0.12","102.958","29.625","84092.467","76752.818"
"1","4","18","3","8","27.1","3.8","0.12","8.081","27.22","3784.05","0"
"1","4","19","0","0","26.4","3.4","0.12","0","26.4","0","0"
"1","4","20","0","0","25.6","3.1","0.12","0","25.6","0","0"
"1","4","21","0","0","25.4","2.6","0.12","0","25.4","0","0"
"1","4","22","0","0","25.3","2.1","0.12","0","25.3","0","0"
"1","4","23","0","0","25.1","1.5","0.12","0","25.1","0","0"
"1","5","0","0","0","25.1","2.4","0.12","0","25.1","0","0"
"1","5","1","0","0","25.1","3.3","0.12","0","25.1","0","0"
"1","5","2","0","0","25.2","4.3","0.12","0","25.2","0","0"
"1","5","3","0","0","25.2","5.2","0.12","0","25.2","0","0"
"1","5","4","0","0","25.2","4.5","0.12","0","25.2","0","0"
"1","5","5","0","0","25.3","3.7","0.12","0","25.3","0","0"
"1","5","6","10","22","26.4","4.9","0.12","22.42","26.715","13922.7","9069.444"
"1","5","7","142","102","27.5","6.2","0.12","139.535","29.318","119502.991","110908.606"
"1","5","8","276","226","28.6","7.4","0.12","359.311","32.778","324233.029","308384.245"
"1","5","9","543","257","29","7.1","0.12","622.042","36.443","556365.509","532291.348"
"1","5","10","628","267","29.3","6.8","0.12","777.32","38.872","684545.353","655929.27"
"1","5","11","706","278","29.7","6.5","0.12","911.255","41.267","791297.913","758899.163"
"1","5","12","670","306","29.7","6.6","0.12","922.023","41.274","798858.246","766191.603"
"1","5","13","664","299","29.7","6.8","0.12","883.259","40.566","769204.469","737588.578"
"1","5","14","640","256","29.7","6.9","0.12","755.616","38.915","666712.619","638728.421"
"1","5","15","554","232","28.8","7.1","0.12","579.406","35.74","521242.244","498412.64"
"1","5","16","425","158","28","7.2","0.12","341.116","32.042","307458.532","292204.135"
"1","5","17","178","83","27.1","7.4","0.12","119.097","28.456","97577.863","89760.373"
"1","5","18","2","8","26.8","6.8","0.12","8.04","26.882","3783.438","0"
"1","5","19","0","0","26.4","6.2","0.12","0","26.4","0","0"
"1","5","20","0","0","26.1","5.6","0.12","0","26.1","0","0"
"1","5","21","0","0","26","5.1","0.12","0","26","0","0"
"1","5","22","0","0","25.8","4.7","0.12","0","25.8","0","0"
"1","5","23","0","0","25.7","4.2","0.12","0","25.7","0","0"
"1","6","0","0","0","25.6","3.8","0.12","0","25.6","0","0"
"1","6","1","0","0","25.5","3.4","0.12","0","25.5","0","0"
"1","6","2","0","0","25.5","3.1","0.12","0","25.5","0","0"
"1","6","3","0","0","25.4","3.1","0.12","0","25.4","0","0"
"1","6","4","0","0","25.3","3.1","0.12","0","25.3","0","0"
"1","6","5","0","0","25.2","3.1","0.12","0","25.2","0","0"
"1","6","6","2","22","26.3","3.3","0.12","21.998","26.686","13443.977","8607.684"
"1","6","7","188","106","27.3","3.4","0.12","155.496","30.215","132300.97","123253.102"
"1","6","8","385","204","28.4","3.6","0.12","390.524","35.585","350122.521","333356.37"
"1","6","9","337","291","28.6","4.3","0.12","516.426","37.157","457299.546","436735.686"
"1","6","10","579","321","28.9","5","0.12","790.852","40.838","689474.211","660683.48"
"1","6","11","554","339","29.1","5.6","0.12","835.375","40.81","724851.606","694807.313"
"1","6","12","622","377","29.3","6.3","0.12","948.842","41.59","818856.308","785481.055"
"1","6","13","643","301","29.6","7","0.12","867.528","40.056","756920.029","725739.424"
"1","6","14","586","298","29.8","7.7","0.12","755.923","38.321","667228.805","639226.317"
"1","6","15","473","228","29.1","7.2","0.12","525.306","35.328","472224.991","451132.263"
"1","6","16","381","172","28.5","6.7","0.12","336.704","32.696","302565.231","287484.223"
"1","6","17","148","88","27.8","6.1","0.12","118.196","29.344","97646.966","89827.027"
"1","6","18","1","8","27.1","5.6","0.12","8.006","27.194","3773.074","0"
"1","6","19","0","0","26.5","5.1","0.12","0","26.5","0","0"
"1","6","20","0","0","25.8","4.6","0.12","0","25.8","0","0"
"1","6","21","0","0","25.8","3.8","0.12","0","25.8","0","0"
"1","6","22","0","0","25.8","2.9","0.12","0","25.8","0","0"
"1","6","23","0","0","25.7","2.1","0.12","0","25.7","0","0"
"1","7","0","0","0","25.7","1.2","0.12","0","25.7","0","0"
"1","7","1","0","0","25.3","1.1","0.12","0","25.3","0","0"
"1","7","2","0","0","25","1","0.12","0","25","0","0"
"1","7","3","0","0","25","1.2","0.12","0","25","0","0"
"1","7","4","0","0","25","1.3","0.12","0","25","0","0"
"1","7","5","0","0","25","1.5","0.12","0","25","0","0"
"1","7","6","26","21","25.7","1.6","0.12","22.009","26.213","12429.592","7629.243"
"1","7","7","259","88","26.3","1.6","0.12","156.526","30.379","130982.752","121981.594"
"1","7","8","499","154","27","1.7","0.12","396.133","37.281","354091.838","337185.037"
"1","7","9","640","204","27.7","1.8","0.12","634.292","43.789","552586.186","528645.942"
"1","7","10","663","255","28.3","1.8","0.12","793.79","48.387","672921.645","644717.436"
"1","7","11","798","261","29","1.9","0.12","977.771","53.213","808412.699","775407.504"
"1","7","12","695","278","29.7","2","0.12","918.57","51.972","762310.617","730939.002"
"1","7","13","528","297","30.3","2","0.12","762.757","48.788","641619.55","614524.499"
"1","7","14","555","270","31","2.1","0.12","704.772","47.771","598728.089","573152.854"
"1","7","15","647","209","30.3","2.6","0.12","617.729","43.714","539389.797","515917.153"
"1","7","16","494","153","29.7","3.1","0.12","368.061","37.023","326069.705","310155.84"
"1","7","17","235","79","29","3.6","0.12","128.009","31.294","102378.752","94391.147"
"1","7","18","5","8","28.3","4.1","0.12","8.157","28.415","3767.55","0"
"1","7","19","0","0","27.7","4.6","0.12","0","27.7","0","0"
"1","7","20","0","0","27","5.1","0.12","0","27","0","0"
"1","7","21","0","0","26.8","4.6","0.12","0","26.8","0","0"
"1","7","22","0","0","26.7","4.1","0.12","0","26.7","0","0"
"1","7","23","0","0","26.5","3.6","0.12","0","26.5","0","0"
"1","8","0","0","0","26.7","3.6","0.12","0","26.7","0","0"
"1","8","1","0","0","26.8","3.6","0.12","0","26.8","0","0"
"1","8","2","0","0","27","3.6","0.12","0","27","0","0"
"1","8","3","0","0","27.1","3.6","0.12","0","27.1","0","0"
"1","8","4","0","0","27.5","4","0.12","0","27.5","0","0"
"1","8","5","0","0","27.9","4.4","0.12","0","27.9","0","0"
"1","8","6","45","22","28.3","4.8","0.12","23.979","28.618","12522.541","7718.899"
"1","8","7","127","111","28.7","5.2","0.12","143.749","30.805","122912.641","114197.439"
"1","8","8","199","207","29.1","5.6","0.12","302.296","33.354","270460.031","256516.638"
"1","8","9","560","242","29.8","6.5","0.12","617.657","37.662","550221.83","526365.364"
"1","8","10","594","273","30.6","7.5","0.12","755.429","39.277","663857.93","635974.885"
"1","8","11","434","261","31.3","8.4","0.12","650.474","38.167","570591.928","546013.668"
"1","8","12","165","281","31.1","7.9","0.12","432.141","35.859","376729.018","359020.092"
"1","8","13","358","293","31","7.4","0.12","608.778","38.044","532933.904","509690.018"
"1","8","14","239","197","30.8","6.9","0.12","384.313","35.479","338890.486","322522.33"
"1","8","15","248","400","29.9","6.5","0.12","554.26","36.938","490272.814","468540.58"
"1","8","16","202","208","29","6","0.12","295.113","32.964","263596.447","249896.258"
"1","8","17","195","58","28.1","5.6","0.12","98.984","29.456","78489.105","71348.005"
"1","8","18","15","9","27.9","5.6","0.12","9.347","28.007","4223.208","0"
"1","8","19","0","0","27.6","5.6","0.12","0","27.6","0","0"
"1","8","20","0","0","27.4","5.6","0.12","0","27.4","0","0"
"1","8","21","0","0","27.2","5.6","0.12","0","27.2","0","0"
"1","8","22","0","0","27.1","5.6","0.12","0","27.1","0","0"
"1","8","23","0","0","26.9","5.6","0.12","0","26.9","0","0"
"1","9","0","0","0","26.7","5.6","0.12","0","26.7","0","0"
"1","9","1","0","0","26.6","5.6","0.12","0","26.6","0","0"
"1","9","2","0","0","26.4","5.6","0.12","0","26.4","0","0"
"1","9","3","0","0","26.6","5.3","0.12","0","26.6","0","0"
"1","9","4","0","0","26.9","5.1","0.12","0","26.9","0","0"
"1","9","5","0","0","27.1","4.8","0.12","0","27.1","0","0"
"1","9","6","49","16","27.3","4.6","0.12","18.296","27.55","9594.228","4894.348"
"1","9","7","212","50","27.6","4.3","0.12","105.621","29.319","86144.253","78731.901"
"1","9","8","496","193","27.8","4.1","0.12","432.32","35.193","389738.267","371568.372"
"1","9","9","334","169","28.2","4.1","0.12","392.869","34.903","351005.277","334207.846"
"1","9","10","592","329","28.7","4.1","0.12","809.303","42.479","700825.707","671632.747"
"1","9","11","536","193","29.1","4.1","0.12","675","40.59","588802.607","563579.071"
"1","9","12","859","235","29.5","4.7","0.12","1029.072","45.646","877261.293","841816.518"
"1","9","13","837","211","29.8","5.4","0.12","953.177","43.508","822550.383","789044.234"
"1","9","14","581","229","30.2","6","0.12","686.496","39.414","604394.771","578618.742"
"1","9","15","703","161","29.6","5.7","0.12","608.168","38.074","544551.744","520896.191"
"1","9","16","594","93","28.9","5.4","0.12","354.739","34.015","318625.438","302975.353"
"1","9","17","451","48","28.3","5.1","0.12","144.9","30.373","110010.669","101752.635"
"1","9","18","68","8","27.9","5.3","0.12","9.016","27.993","3265.13","0"
"1","9","19","0","0","27.5","5.4","0.12","0","27.5","0","0"
"1","9","20","0","0","27.1","5.6","0.12","0","27.1","0","0"
"1","9","21","0","0","27.1","5.6","0.12","0","27.1","0","0"
"1","9","22","0","0","27.1","5.6","0.12","0","27.1","0","0"
"1","9","23","0","0","27.1","5.6","0.12","0","27.1","0","0"
"1","10","0","0","0","27","5.1","0.12","0","27","0","0"
"1","10","1","0","0","26.8","4.6","0.12","0","26.8","0","0"
"1","10","2","0","0","26.7","4.1","0.12","0","26.7","0","0"
"1","10","3","0","0","26.8","3.8","0.12","0","26.8","0","0"
"1","10","4","0","0","26.9","3.5","0.12","0","26.9","0","0"
"1","10","5","0","0","26.9","3.2","0.12","0","26.9","0","0"
"1","10","6","17","20","27","2.9","0.12","20.827","27.376","11534.667","6766.029"
"1","10","7","94","124","27.1","2.6","0.12","147.441","30.279","127504.107","118626.211"
"1","10","8","100","189","27.2","2.3","0.12","236.162","32.611","209663.076","197873.961"
"1","10","9","274","259","28.4","3.4","0.12","441.669","36.755","390454.117","372258.857"
"1","10","10","365","238","29.6","4.5","0.12","534.166","38.202","469092.286","448110.563"
"1","10","11","463","281","30.8","5.6","0.12","696.934","40.569","605564.227","579746.76"
"1","10","12","599","333","31.2","5.6","0.12","886.345","43.623","759754.541","728473.498"
"1","10","13","710","229","31.5","5.6","0.12","859.251","43.562","741087.075","710467.495"
"1","10","14","665","243","31.9","5.6","0.12","767.84","42.69","667455.439","639444.921"
"1","10","15","657","163","31.6","5","0.12","582.076","40.424","515736.37","493101.861"
"1","10","16","525","143","31.3","4.5","0.12","374.808","37.356","332233.018","316100.763"
"1","10","17","300","77","30.9","3.9","0.12","141.405","33.315","111345.265","103039.94"
"1","10","18","14","9","30.6","3.4","0.12","9.374","30.745","4174.439","0"
"1","10","19","0","0","30.3","2.8","0.12","0","30.3","0","0"
"1","10","20","0","0","30","2.3","0.12","0","30","0","0"
"1","10","21","0","0","29.3","1.9","0.12","0","29.3","0","0"
"1","10","22","0","0","28.7","1.5","0.12","0","28.7","0","0"
"1","10","23","0","0","28","1.1","0.12","0","28","0","0"
"1","11","0","0","0","27.4","0.8","0.12","0","27.4","0","0"
"1","11","1","0","0","26.7","0.4","0.12","0","26.7","0","0"
"1","11","2","0","0","26.1","0","0.12","0","26.1","0","0"
"1","11","3","0","0","25.8","0","0.12","0","25.8","0","0"
"1","11","4","0","0","25.4","0","0.12","0","25.4","0","0"
"1","11","5","0","0","25.1","0","0.12","0","25.1","0","0"
"1","11","6","12","19","26.2","0.8","0.12","19.54","26.742","10463.389","5732.711"
"1","11","7","290","98","27.4","1.5","0.12","173.126","32.009","143997.758","134535.426"
"1","11","8","316","199","28.5","2.3","0.12","350.351","36.541","311567.347","296167.358"
"1","11","9","257","328","29.3","3.8","0.12","498.48","38.164","438003.119","418123.008"
"1","11","10","309","321","30.1","5.4","0.12","570.937","38.293","499549.979","477489.018"
"1","11","11","760","259","30.9","6.9","0.12","943.192","42.389","815703.608","782440.068"
"1","11","12","693","294","30.7","7.7","0.12","935.331","41.229","810655.625","777570.954"
"1","11","13","682","278","30.5","8.5","0.12","883.916","39.759","772587.587","740851.818"
"1","11","14","656","251","30.3","9.3","0.12","769.785","37.847","681994.157","653468.474"
"1","11","15","625","209","29.6","8.7","0.12","608.5","35.889","547986.468","524209.21"
"1","11","16","526","133","28.8","8","0.12","366.36","32.827","330804.833","314723.184"
"1","11","17","297","78","28.1","7.4","0.12","142.292","29.709","114132.589","105728.499"
"1","11","18","10","10","27.6","7.2","0.12","10.398","27.701","4818.784","288.117"
"1","11","19","0","0","27.2","7.1","0.12","0","27.2","0","0"
"1","11","20","0","0","26.7","6.9","0.12","0","26.7","0","0"
"1","11","21","0","0","26.6","6.8","0.12","0","26.6","0","0"
"1","11","22","0","0","26.6","6.6","0.12","0","26.6","0","0"
"1","11","23","0","0","26.5","6.5","0.12","0","26.5","0","0"
"1","12","0","0","0","26.4","5.3","0.12","0","26.4","0","0"
"1","12","1","0","0","26.2","4","0.12","0","26.2","0","0"
"1","12","2","0","0","26.1","2.8","0.12","0","26.1","0","0"
"1","12","3","0","0","26.6","3.3","0.12","0","26.6","0","0"
"1","12","4","0","0","27.1","3.7","0.12","0","27.1","0","0"
"1","12","5","0","0","27.6","4.2","0.12","0","27.6","0","0"
"1","12","6","23","19","28.1","4.7","0.12","19.754","28.359","9766.362","5060.382"
"1","12","7","262","111","28.6","5.1","0.12","178.245","31.226","149967.796","140293.922"
"1","12","8","345","234","29.1","5.6","0.12","398.701","34.714","358112.86","341063.579"
"1","12","9","393","229","29.6","5.6","0.12","491.655","36.513","437780.853","417908.618"
"1","12","10","369","370","30","5.6","0.12","668.469","39.369","583242.097","558215.592"
"1","12","11","652","262","30.5","5.6","0.12","849.154","42.414","734321.82","703941.96"
"1","12","12","564","347","30.4","6.8","0.12","868.993","41.077","752051.064","721042.986"
"1","12","13","697","250","30.2","8.1","0.12","870.535","39.652","761998.869","730638.301"
"1","12","14","698","184","30.1","9.3","0.12","737.779","37.338","656698.426","629069.07"
"1","12","15","607","219","29.4","8.5","0.12","607.908","35.791","547278.627","523526.45"
"1","12","16","434","160","28.7","7.7","0.12","352.951","32.688","318332.67","302692.959"
"1","12","17","132","86","28","6.9","0.12","114.414","29.377","95193.368","87460.37"
"1","12","18","12","10","27.6","6.5","0.12","10.229","27.707","4708.822","182.051"
"1","12","19","0","0","27.3","6","0.12","0","27.3","0","0"
"1","12","20","0","0","26.9","5.6","0.12","0","26.9","0","0"
"1","12","21","0","0","26.7","5","0.12","0","26.7","0","0"
"1","12","22","0","0","26.5","4.3","0.12","0","26.5","0","0"
"1","12","23","0","0","26.3","3.7","0.12","0","26.3","0","0"
"1","13","0","0","0","25.4","2.5","0.12","0","25.4","0","0"
"1","13","1","0","0","24.6","1.2","0.12","0","24.6","0","0"
"1","13","2","0","0","23.7","0","0.12","0","23.7","0","0"
"1","13","3","0","0","23.5","0","0.12","0","23.5","0","0"
"1","13","4","0","0","23.3","0","0.12","0","23.3","0","0"
"1","13","5","0","0","23.1","0","0.12","0","23.1","0","0"
"1","13","6","3","18","24.3","0","0.12","18.107","24.95","10146.183","5426.744"
"1","13","7","111","99","25.4","0","0.12","126.971","30.542","108009.834","99822.697"
"1","13","8","150","268","26.6","0","0.12","337.995","40.393","293764.837","278995.662"
"1","13","9","229","285","27.9","1.9","0.12","436.96","38.721","382265.307","364360.208"
"1","13","10","618","274","29.2","3.7","0.12","776.284","43.22","671564.522","643408.402"
"1","13","11","480","314","30.5","5.6","0.12","745.938","40.954","646721.646","619445.808"
"1","13","12","632","350","30.5","6","0.12","935.864","43.03","803529.938","770697.759"
"1","13","13","661","270","30.4","6.5","0.12","859.228","41.307","746484.312","715673.486"
"1","13","14","397","253","30.4","6.9","0.12","567.818","37.316","501339.503","479215.132"
"1","13","15","389","295","29.6","6.5","0.12","543.833","36.517","484502.811","462975.032"
"1","13","16","153","201","28.9","6","0.12","268.204","32.503","239324.464","226484.328"
"1","13","17","60","83","28.1","5.6","0.12","95.742","29.436","80957.798","73729.223"
"1","13","18","1","10","27.8","5","0.12","10.002","27.926","4756.508","228.047"
"1","13","19","0","0","27.6","4.3","0.12","0","27.6","0","0"
"1","13","20","0","0","27.3","3.7","0.12","0","27.3","0","0"
"1","13","21","0","0","27.1","3.6","0.12","0","27.1","0","0"
"1","13","22","0","0","26.8","3.6","0.12","0","26.8","0","0"
"1","13","23","0","0","26.6","3.5","0.12","0","26.6","0","0"
"1","14","0","0","0","26.3","3.4","0.12","0","26.3","0","0"
"1","14","1","0","0","26.2","3.3","0.12","0","26.2","0","0"
"1","14","2","0","0","26","3.1","0.12","0","26","0","0"
"1","14","3","0","0","26","3.1","0.12","0","26","0","0"
"1","14","4","0","0","26","3.1","0.12","0","26","0","0"
"1","14","5","0","0","26","3.1","0.12","0","26","0","0"
"1","14","6","92","16","27","3.8","0.12","19.892","27.276","8685.31","4017.636"
"1","14","7","349","76","28","4.4","0.12","165.508","30.652","135742.396","126572.585"
"1","14","8","570","95","29","5.1","0.12","368.796","34.529","333695.549","317511.47"
"1","14","9","432","160","29.5","5.3","0.12","449.159","36.053","401636.037","383044.557"
"1","14","10","576","230","30","5.5","0.12","698.548","39.928","612953.402","586874.108"
"1","14","11","679","285","30.5","5.6","0.12","897.297","43.088","773135.421","741380.24"
"1","14","12","527","367","31","5.8","0.12","855.651","42.712","734919.214","704518.185"
"1","14","13","484","207","31.5","6","0.12","639.277","40.068","558116.995","533980.772"
"1","14","14","607","256","32","6.2","0.12","739.074","41.7","644170.336","616984.901"
"1","14","15","420","281","31","6.2","0.12","550.755","38.236","487854.431","466207.89"
"1","14","16","270","177","30","6.2","0.12","297.492","33.911","265369.463","251606.449"
"1","14","17","15","63","29","6.2","0.12","66.014","29.865","55771.018","49434.91"
"1","14","18","24","9","28.3","4.5","0.12","9.43","28.421","4089.61","0"
"1","14","19","0","0","27.7","2.7","0.12","0","27.7","0","0"
"1","14","20","0","0","27","1","0.12","0","27","0","0"
"1","14","21","0","0","26.9","0.9","0.12","0","26.9","0","0"
"1","14","22","0","0","26.8","0.8","0.12","0","26.8","0","0"
"1","14","23","0","0","26.7","0.7","0.12","0","26.7","0","0"
"1","15","0","0","0","27.1","1.4","0.12","0","27.1","0","0"
"1","15","1","0","0","27.6","2.1","0.12","0","27.6","0","0"
"1","15","2","0","0","28","2.7","0.12","0","28","0","0"
"1","15","3","0","0","28.4","3.4","0.12","0","28.4","0","0"
"1","15","4","0","0","28.7","3.3","0.12","0","28.7","0","0"
"1","15","5","0","0","29","3.1","0.12","0","29","0","0"
"1","15","6","45","16","29.3","2.9","0.12","17.694","29.591","7967.552","3325.312"
"1","15","7","318","112","29.6","2.8","0.12","192.785","33.569","159769.494","149748.307"
"1","15","8","605","134","29.9","2.6","0.12","424.019","39.12","377099.334","359377.286"
"1","15","9","558","222","30.8","3.4","0.12","595.167","42.083","521080.564","498256.689"
