"PVWatts Hourly PV Performance Data"
"Requested Location","Kenya"
"Location","LAMU/MANDA ISLAND, KENYA"
"Latitude (DD)","-2.27"
"Longitude (DD)","40.83"
"Elevation (m)","6"
"DC System Size (kW)","1100"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","2.27"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","27.3","2","0.12","0","27.3","0","0"
"1","1","1","0","0","27.2","1.5","0.12","0","27.2","0","0"
"1","1","2","0","0","27","1","0.12","0","27","0","0"
"1","1","3","0","0","27","2.2","0.12","0","27","0","0"
"1","1","4","0","0","27","3.4","0.12","0","27","0","0"
"1","1","5","0","0","27","4.6","0.12","0","27","0","0"
"1","1","6","13","25","27","3.4","0.12","25.575","27.451","16646.813","11697.031"
"1","1","7","235","107","27","2.2","0.12","170.998","30.95","145128.054","135625.671"
"1","1","8","370","213","27","1","0.12","394.304","39.04","348593.315","331881.349"
"1","1","9","525","275","27.7","1.7","0.12","629.328","43.988","545417.219","521731"
"1","1","10","402","372","28.3","2.4","0.12","697.694","43.939","597989.764","572440.69"
"1","1","11","670","285","29","3","0.12","885.16","46.852","751210.17","720231.888"
"1","1","12","605","369","29.7","3.7","0.12","922.893","46.334","781623.315","749567.375"
"1","1","13","673","272","30.3","4.4","0.12","861.247","44.362","739541.187","708976.384"
"1","1","14","594","288","31","5.1","0.12","747.596","42.154","650292.91","622890.528"
"1","1","15","536","240","30.5","5.3","0.12","572.062","38.848","508111.545","485747.214"
"1","1","16","374","157","30","5.5","0.12","315.026","34.482","280103.444","265818.346"
"1","1","17","135","81","29.5","5.6","0.12","107.213","30.981","87224.31","79773.687"
"1","1","18","2","7","29","5.8","0.12","7.038","29.08","3244.272","0"
"1","1","19","0","0","28.5","6","0.12","0","28.5","0","0"
"1","1","20","0","0","28","6.2","0.12","0","28","0","0"
"1","1","21","0","0","27.8","5.8","0.12","0","27.8","0","0"
"1","1","22","0","0","27.7","5.5","0.12","0","27.7","0","0"
"1","1","23","0","0","27.5","5.1","0.12","0","27.5","0","0"
