hour,solar_cf
1,0
2,0
3,0
4,0
5,0
6,0
7,0.011697031
8,0.135625671
9,0.331881349
10,0.521731
11,0.57244069
12,0.720231888
13,0.749567375
14,0.708976384
15,0.622890528
16,0.485747214
17,0.265818346
18,0.079773687
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0.010257533
32,0.152554885
33,0.325971049
34,0.53157461
35,0.574523626
36,0.730576239
37,0.774779558
38,0.727504307
39,0.671766763
40,0.537937116
41,0.309185614
42,0.092011645
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0.009042373
56,0.131424303
57,0.145230068
58,0.350775616
59,0.534689462
60,0.649801753
61,0.774812932
62,0.63944803
63,0.448837213
64,0.520105381
65,0.2966808
66,0.102200338
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0.00858997
80,0.116945785
81,0.166043503
82,0.501399655
83,0.590065214
84,0.662317042
85,0.611168906
86,0.625005895
87,0.512839017
88,0.460543312
89,0.256324573
90,0.076752818
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0.009069444
104,0.110908606
105,0.308384245
106,0.532291348
107,0.65592927
108,0.758899163
109,0.766191603
110,0.737588578
111,0.638728421
112,0.49841264
113,0.292204135
114,0.089760373
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0.008607684
128,0.123253102
129,0.33335637
130,0.436735686
131,0.66068348
132,0.694807313
133,0.785481055
134,0.725739424
135,0.639226317
136,0.451132263
137,0.287484223
138,0.089827027
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0.007629243
152,0.121981594
153,0.337185037
154,0.528645942
155,0.644717436
156,0.775407504
157,0.730939002
158,0.614524499
159,0.573152854
160,0.515917153
161,0.31015584
162,0.094391147
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0.007718899
176,0.114197439
177,0.256516638
178,0.526365364
179,0.635974885
180,0.546013668
181,0.359020092
182,0.509690018
183,0.32252233
184,0.46854058
