smr_capacity,solar_capacity,electricity_export_capacity,industry_demand_thermal_capacity,industry_demand_electricity_capacity,desalination_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-solar_capacity,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-smr_capacity,ProbabilityWeight-desalination_capacity
720.0,540.0,-1e+200,-3.71,-7.02,-720.0,-5.17196432298e+14,nan,-5.17196432298e+14,-5.17196432298e+14,-5.17196432298e+14,-5.17196432298e+14,-5.17196432298e+14,1.0,nan,0.272727272727,24,3.18845015815e-09,0.00464876033058,0.136363636364,0.125
720.0,720.0,-1e+200,-3.71,-7.02,-720.0,-5.17196644347e+14,nan,-5.17196644347e+14,-5.17196644347e+14,-5.17196644347e+14,-5.17196644347e+14,-5.17196644347e+14,1.0,nan,0.136363636364,25,3.18845015815e-09,0.00232438016529,0.136363636364,0.125
60.0,60.0,-1e+200,-3.71,-7.02,-540.0,-3.59275918098e+13,nan,-3.59275918098e+13,-3.59275918098e+13,-3.59275918098e+13,-3.59275918098e+13,-3.59275918098e+13,1.0,nan,0.0909090909091,26,3.18845015815e-09,0.00206611570248,0.0909090909091,0.25
60.0,180.0,-1e+200,-3.71,-7.02,-540.0,-3.59277331759e+13,nan,-3.59277331759e+13,-3.59277331759e+13,-3.59277331759e+13,-3.59277331759e+13,-3.59277331759e+13,1.0,nan,0.227272727273,27,3.18845015815e-09,0.0051652892562,0.0909090909091,0.25
60.0,360.0,-1e+200,-3.71,-7.02,-540.0,-3.5927945225e+13,nan,-3.5927945225e+13,-3.5927945225e+13,-3.5927945225e+13,-3.5927945225e+13,-3.5927945225e+13,1.0,nan,0.272727272727,28,3.18845015815e-09,0.00619834710744,0.0909090909091,0.25
60.0,540.0,-1e+200,-3.71,-7.02,-540.0,-3.59281572742e+13,nan,-3.59281572742e+13,-3.59281572742e+13,-3.59281572742e+13,-3.59281572742e+13,-3.59281572742e+13,1.0,nan,0.272727272727,29,3.18845015815e-09,0.00619834710744,0.0909090909091,0.25
60.0,720.0,-1e+200,-3.71,-7.02,-540.0,-3.59283693233e+13,nan,-3.59283693233e+13,-3.59283693233e+13,-3.59283693233e+13,-3.59283693233e+13,-3.59283693233e+13,1.0,nan,0.136363636364,30,3.18845015815e-09,0.00309917355372,0.0909090909091,0.25
180.0,60.0,-1e+200,-3.71,-7.02,-540.0,-1.23430913675e+14,nan,-1.23430913675e+14,-1.23430913675e+14,-1.23430913675e+14,-1.23430913675e+14,-1.23430913675e+14,1.0,nan,0.0909090909091,31,3.18845015815e-09,0.0051652892562,0.227272727273,0.25
180.0,180.0,-1e+200,-3.71,-7.02,-540.0,-1.23431055041e+14,nan,-1.23431055041e+14,-1.23431055041e+14,-1.23431055041e+14,-1.23431055041e+14,-1.23431055041e+14,1.0,nan,0.227272727273,32,3.18845015815e-09,0.0129132231405,0.227272727273,0.25
180.0,360.0,-1e+200,-3.71,-7.02,-540.0,-1.2343126709e+14,nan,-1.2343126709e+14,-1.2343126709e+14,-1.2343126709e+14,-1.2343126709e+14,-1.2343126709e+14,1.0,nan,0.272727272727,33,3.18845015815e-09,0.0154958677686,0.227272727273,0.25
180.0,540.0,-1e+200,-3.71,-7.02,-540.0,-1.2343147914e+14,nan,-1.2343147914e+14,-1.2343147914e+14,-1.2343147914e+14,-1.2343147914e+14,-1.2343147914e+14,1.0,nan,0.272727272727,34,3.18845015815e-09,0.0154958677686,0.227272727273,0.25
180.0,720.0,-1e+200,-3.71,-7.02,-540.0,-1.23431691189e+14,nan,-1.23431691189e+14,-1.23431691189e+14,-1.23431691189e+14,-1.23431691189e+14,-1.23431691189e+14,1.0,nan,0.136363636364,35,3.18845015815e-09,0.0077479338843,0.227272727273,0.25
360.0,60.0,-1e+200,-3.71,-7.02,-540.0,-2.54685896473e+14,nan,-2.54685896473e+14,-2.54685896473e+14,-2.54685896473e+14,-2.54685896473e+14,-2.54685896473e+14,1.0,nan,0.0909090909091,36,3.18845015815e-09,0.00619834710744,0.272727272727,0.25
360.0,180.0,-1e+200,-3.71,-7.02,-540.0,-2.54686037839e+14,nan,-2.54686037839e+14,-2.54686037839e+14,-2.54686037839e+14,-2.54686037839e+14,-2.54686037839e+14,1.0,nan,0.227272727273,37,3.18845015815e-09,0.0154958677686,0.272727272727,0.25
360.0,360.0,-1e+200,-3.71,-7.02,-540.0,-2.54686249888e+14,nan,-2.54686249888e+14,-2.54686249888e+14,-2.54686249888e+14,-2.54686249888e+14,-2.54686249888e+14,1.0,nan,0.272727272727,38,3.18845015815e-09,0.0185950413223,0.272727272727,0.25
360.0,540.0,-1e+200,-3.71,-7.02,-540.0,-2.54686461938e+14,nan,-2.54686461938e+14,-2.54686461938e+14,-2.54686461938e+14,-2.54686461938e+14,-2.54686461938e+14,1.0,nan,0.272727272727,39,3.18845015815e-09,0.0185950413223,0.272727272727,0.25
360.0,720.0,-1e+200,-3.71,-7.02,-540.0,-2.54686673987e+14,nan,-2.54686673987e+14,-2.54686673987e+14,-2.54686673987e+14,-2.54686673987e+14,-2.54686673987e+14,1.0,nan,0.136363636364,40,3.18845015815e-09,0.00929752066116,0.272727272727,0.25
540.0,60.0,-1e+200,-3.71,-7.02,-540.0,-3.85940879271e+14,nan,-3.85940879271e+14,-3.85940879271e+14,-3.85940879271e+14,-3.85940879271e+14,-3.85940879271e+14,1.0,nan,0.0909090909091,41,3.18845015815e-09,0.00619834710744,0.272727272727,0.25
540.0,180.0,-1e+200,-3.71,-7.02,-540.0,-3.85941020637e+14,nan,-3.85941020637e+14,-3.85941020637e+14,-3.85941020637e+14,-3.85941020637e+14,-3.85941020637e+14,1.0,nan,0.227272727273,42,3.18845015815e-09,0.0154958677686,0.272727272727,0.25
540.0,360.0,-1e+200,-3.71,-7.02,-540.0,-3.85941232686e+14,nan,-3.85941232686e+14,-3.85941232686e+14,-3.85941232686e+14,-3.85941232686e+14,-3.85941232686e+14,1.0,nan,0.272727272727,43,3.18845015815e-09,0.0185950413223,0.272727272727,0.25
540.0,540.0,-1e+200,-3.71,-7.02,-540.0,-3.85941444736e+14,nan,-3.85941444736e+14,-3.85941444736e+14,-3.85941444736e+14,-3.85941444736e+14,-3.85941444736e+14,1.0,nan,0.272727272727,44,3.18845015815e-09,0.0185950413223,0.272727272727,0.25
540.0,720.0,-1e+200,-3.71,-7.02,-540.0,-3.85941656785e+14,nan,-3.85941656785e+14,-3.85941656785e+14,-3.85941656785e+14,-3.85941656785e+14,-3.85941656785e+14,1.0,nan,0.136363636364,45,3.18845015815e-09,0.00929752066116,0.272727272727,0.25
720.0,60.0,-1e+200,-3.71,-7.02,-540.0,-5.17195862069e+14,nan,-5.17195862069e+14,-5.17195862069e+14,-5.17195862069e+14,-5.17195862069e+14,-5.17195862069e+14,1.0,nan,0.0909090909091,46,3.18845015815e-09,0.00309917355372,0.136363636364,0.25
720.0,180.0,-1e+200,-3.71,-7.02,-540.0,-5.17196003435e+14,nan,-5.17196003435e+14,-5.17196003435e+14,-5.17196003435e+14,-5.17196003435e+14,-5.17196003435e+14,1.0,nan,0.227272727273,47,3.18845015815e-09,0.0077479338843,0.136363636364,0.25
720.0,360.0,-1e+200,-3.71,-7.02,-540.0,-5.17196215484e+14,nan,-5.17196215484e+14,-5.17196215484e+14,-5.17196215484e+14,-5.17196215484e+14,-5.17196215484e+14,1.0,nan,0.272727272727,48,3.18845015815e-09,0.00929752066116,0.136363636364,0.25
720.0,540.0,-1e+200,-3.71,-7.02,-540.0,-5.17196427534e+14,nan,-5.17196427534e+14,-5.17196427534e+14,-5.17196427534e+14,-5.17196427534e+14,-5.17196427534e+14,1.0,nan,0.272727272727,49,3.18845015815e-09,0.00929752066116,0.136363636364,0.25
720.0,720.0,-1e+200,-3.71,-7.02,-540.0,-5.17196639583e+14,nan,-5.17196639583e+14,-5.17196639583e+14,-5.17196639583e+14,-5.17196639583e+14,-5.17196639583e+14,1.0,nan,0.136363636364,50,3.18845015815e-09,0.00464876033058,0.136363636364,0.25
60.0,60.0,-1e+200,-3.71,-7.02,-360.0,-3.59275860806e+13,nan,-3.59275860806e+13,-3.59275860806e+13,-3.59275860806e+13,-3.59275860806e+13,-3.59275860806e+13,1.0,nan,0.0909090909091,51,3.18845015815e-09,0.00206611570248,0.0909090909091,0.25
60.0,180.0,-1e+200,-3.71,-7.02,-360.0,-3.59277274467e+13,nan,-3.59277274467e+13,-3.59277274467e+13,-3.59277274467e+13,-3.59277274467e+13,-3.59277274467e+13,1.0,nan,0.227272727273,52,3.18845015815e-09,0.0051652892562,0.0909090909091,0.25
60.0,360.0,-1e+200,-3.71,-7.02,-360.0,-3.59279394959e+13,nan,-3.59279394959e+13,-3.59279394959e+13,-3.59279394959e+13,-3.59279394959e+13,-3.59279394959e+13,1.0,nan,0.272727272727,53,3.18845015815e-09,0.00619834710744,0.0909090909091,0.25
60.0,540.0,-1e+200,-3.71,-7.02,-360.0,-3.5928151545e+13,nan,-3.5928151545e+13,-3.5928151545e+13,-3.5928151545e+13,-3.5928151545e+13,-3.5928151545e+13,1.0,nan,0.272727272727,54,3.18845015815e-09,0.00619834710744,0.0909090909091,0.25
60.0,720.0,-1e+200,-3.71,-7.02,-360.0,-3.59283635942e+13,nan,-3.59283635942e+13,-3.59283635942e+13,-3.59283635942e+13,-3.59283635942e+13,-3.59283635942e+13,1.0,nan,0.136363636364,55,3.18845015815e-09,0.00309917355372,0.0909090909091,0.25
180.0,60.0,-1e+200,-3.71,-7.02,-360.0,-1.23430907946e+14,nan,-1.23430907946e+14,-1.23430907946e+14,-1.23430907946e+14,-1.23430907946e+14,-1.23430907946e+14,1.0,nan,0.0909090909091,56,3.18845015815e-09,0.0051652892562,0.227272727273,0.25
180.0,180.0,-1e+200,-3.71,-7.02,-360.0,-1.23431049312e+14,nan,-1.23431049312e+14,-1.23431049312e+14,-1.23431049312e+14,-1.23431049312e+14,-1.23431049312e+14,1.0,nan,0.227272727273,57,3.18845015815e-09,0.0129132231405,0.227272727273,0.25
180.0,360.0,-1e+200,-3.71,-7.02,-360.0,-1.23431261361e+14,nan,-1.23431261361e+14,-1.23431261361e+14,-1.23431261361e+14,-1.23431261361e+14,-1.23431261361e+14,1.0,nan,0.272727272727,58,3.18845015815e-09,0.0154958677686,0.227272727273,0.25
180.0,540.0,-1e+200,-3.71,-7.02,-360.0,-1.2343147341e+14,nan,-1.2343147341e+14,-1.2343147341e+14,-1.2343147341e+14,-1.2343147341e+14,-1.2343147341e+14,1.0,nan,0.272727272727,59,3.18845015815e-09,0.0154958677686,0.227272727273,0.25
180.0,720.0,-1e+200,-3.71,-7.02,-360.0,-1.2343168546e+14,nan,-1.2343168546e+14,-1.2343168546e+14,-1.2343168546e+14,-1.2343168546e+14,-1.2343168546e+14,1.0,nan,0.136363636364,60,3.18845015815e-09,0.0077479338843,0.227272727273,0.25
360.0,60.0,-1e+200,-3.71,-7.02,-360.0,-2.54685890744e+14,nan,-2.54685890744e+14,-2.54685890744e+14,-2.54685890744e+14,-2.54685890744e+14,-2.54685890744e+14,1.0,nan,0.0909090909091,61,3.18845015815e-09,0.00619834710744,0.272727272727,0.25
360.0,180.0,-1e+200,-3.71,-7.02,-360.0,-2.5468603211e+14,nan,-2.5468603211e+14,-2.5468603211e+14,-2.5468603211e+14,-2.5468603211e+14,-2.5468603211e+14,1.0,nan,0.227272727273,62,3.18845015815e-09,0.0154958677686,0.272727272727,0.25
360.0,360.0,-1e+200,-3.71,-7.02,-360.0,-2.54686244159e+14,nan,-2.54686244159e+14,-2.54686244159e+14,-2.54686244159e+14,-2.54686244159e+14,-2.54686244159e+14,1.0,nan,0.272727272727,63,3.18845015815e-09,0.0185950413223,0.272727272727,0.25
360.0,540.0,-1e+200,-3.71,-7.02,-360.0,-2.54686456208e+14,nan,-2.54686456208e+14,-2.54686456208e+14,-2.54686456208e+14,-2.54686456208e+14,-2.54686456208e+14,1.0,nan,0.272727272727,64,3.18845015815e-09,0.0185950413223,0.272727272727,0.25
360.0,720.0,-1e+200,-3.71,-7.02,-360.0,-2.54686668258e+14,nan,-2.54686668258e+14,-2.54686668258e+14,-2.54686668258e+14,-2.54686668258e+14,-2.54686668258e+14,1.0,nan,0.136363636364,65,3.18845015815e-09,0.00929752066116,0.272727272727,0.25
540.0,60.0,-1e+200,-3.71,-7.02,-360.0,-3.85940873542e+14,nan,-3.85940873542e+14,-3.85940873542e+14,-3.85940873542e+14,-3.85940873542e+14,-3.85940873542e+14,1.0,nan,0.0909090909091,66,3.18845015815e-09,0.00619834710744,0.272727272727,0.25
540.0,180.0,-1e+200,-3.71,-7.02,-360.0,-3.85941014908e+14,nan,-3.85941014908e+14,-3.85941014908e+14,-3.85941014908e+14,-3.85941014908e+14,-3.85941014908e+14,1.0,nan,0.227272727273,67,3.18845015815e-09,0.0154958677686,0.272727272727,0.25
540.0,360.0,-1e+200,-3.71,-7.02,-360.0,-3.85941226957e+14,nan,-3.85941226957e+14,-3.85941226957e+14,-3.85941226957e+14,-3.85941226957e+14,-3.85941226957e+14,1.0,nan,0.272727272727,68,3.18845015815e-09,0.0185950413223,0.272727272727,0.25
540.0,540.0,-1e+200,-3.71,-7.02,-360.0,-3.85941439006e+14,nan,-3.85941439006e+14,-3.85941439006e+14,-3.85941439006e+14,-3.85941439006e+14,-3.85941439006e+14,1.0,nan,0.272727272727,69,3.18845015815e-09,0.0185950413223,0.272727272727,0.25
540.0,720.0,-1e+200,-3.71,-7.02,-360.0,-3.85941651056e+14,nan,-3.85941651056e+14,-3.85941651056e+14,-3.85941651056e+14,-3.85941651056e+14,-3.85941651056e+14,1.0,nan,0.136363636364,70,3.18845015815e-09,0.00929752066116,0.272727272727,0.25
720.0,60.0,-1e+200,-3.71,-7.02,-360.0,-5.1719585634e+14,nan,-5.1719585634e+14,-5.1719585634e+14,-5.1719585634e+14,-5.1719585634e+14,-5.1719585634e+14,1.0,nan,0.0909090909091,71,3.18845015815e-09,0.00309917355372,0.136363636364,0.25
720.0,180.0,-1e+200,-3.71,-7.02,-360.0,-5.17195997706e+14,nan,-5.17195997706e+14,-5.17195997706e+14,-5.17195997706e+14,-5.17195997706e+14,-5.17195997706e+14,1.0,nan,0.227272727273,72,3.18845015815e-09,0.0077479338843,0.136363636364,0.25
720.0,360.0,-1e+200,-3.71,-7.02,-360.0,-5.17196209755e+14,nan,-5.17196209755e+14,-5.17196209755e+14,-5.17196209755e+14,-5.17196209755e+14,-5.17196209755e+14,1.0,nan,0.272727272727,73,3.18845015815e-09,0.00929752066116,0.136363636364,0.25
720.0,540.0,-1e+200,-3.71,-7.02,-360.0,-5.17196421804e+14,nan,-5.17196421804e+14,-5.17196421804e+14,-5.17196421804e+14,-5.17196421804e+14,-5.17196421804e+14,1.0,nan,0.272727272727,74,3.18845015815e-09,0.00929752066116,0.136363636364,0.25
720.0,720.0,-1e+200,-3.71,-7.02,-360.0,-5.17196633854e+14,nan,-5.17196633854e+14,-5.17196633854e+14,-5.17196633854e+14,-5.17196633854e+14,-5.17196633854e+14,1.0,nan,0.136363636364,75,3.18845015815e-09,0.00464876033058,0.136363636364,0.25
60.0,60.0,-1e+200,-3.71,-7.02,-180.0,-3.59275784532e+13,nan,-3.59275784532e+13,-3.59275784532e+13,-3.59275784532e+13,-3.59275784532e+13,-3.59275784532e+13,1.0,nan,0.0909090909091,76,3.18845015815e-09,0.00206611570248,0.0909090909091,0.25
60.0,180.0,-1e+200,-3.71,-7.02,-180.0,-3.59277198193e+13,nan,-3.59277198193e+13,-3.59277198193e+13,-3.59277198193e+13,-3.59277198193e+13,-3.59277198193e+13,1.0,nan,0.227272727273,77,3.18845015815e-09,0.0051652892562,0.0909090909091,0.25
60.0,360.0,-1e+200,-3.71,-7.02,-180.0,-3.59279318685e+13,nan,-3.59279318685e+13,-3.59279318685e+13,-3.59279318685e+13,-3.59279318685e+13,-3.59279318685e+13,1.0,nan,0.272727272727,78,3.18845015815e-09,0.00619834710744,0.0909090909091,0.25
60.0,540.0,-1e+200,-3.71,-7.02,-180.0,-3.59281439176e+13,nan,-3.59281439176e+13,-3.59281439176e+13,-3.59281439176e+13,-3.59281439176e+13,-3.59281439176e+13,1.0,nan,0.272727272727,79,3.18845015815e-09,0.00619834710744,0.0909090909091,0.25
60.0,720.0,-1e+200,-3.71,-7.02,-180.0,-3.59283559668e+13,nan,-3.59283559668e+13,-3.59283559668e+13,-3.59283559668e+13,-3.59283559668e+13,-3.59283559668e+13,1.0,nan,0.136363636364,80,3.18845015815e-09,0.00309917355372,0.0909090909091,0.25
180.0,60.0,-1e+200,-3.71,-7.02,-180.0,-1.23430900319e+14,nan,-1.23430900319e+14,-1.23430900319e+14,-1.23430900319e+14,-1.23430900319e+14,-1.23430900319e+14,1.0,nan,0.0909090909091,81,3.18845015815e-09,0.0051652892562,0.227272727273,0.25
180.0,180.0,-1e+200,-3.71,-7.02,-180.0,-1.23431041685e+14,nan,-1.23431041685e+14,-1.23431041685e+14,-1.23431041685e+14,-1.23431041685e+14,-1.23431041685e+14,1.0,nan,0.227272727273,82,3.18845015815e-09,0.0129132231405,0.227272727273,0.25
180.0,360.0,-1e+200,-3.71,-7.02,-180.0,-1.23431253734e+14,nan,-1.23431253734e+14,-1.23431253734e+14,-1.23431253734e+14,-1.23431253734e+14,-1.23431253734e+14,1.0,nan,0.272727272727,83,3.18845015815e-09,0.0154958677686,0.227272727273,0.25
180.0,540.0,-1e+200,-3.71,-7.02,-180.0,-1.23431465783e+14,nan,-1.23431465783e+14,-1.23431465783e+14,-1.23431465783e+14,-1.23431465783e+14,-1.23431465783e+14,1.0,nan,0.272727272727,84,3.18845015815e-09,0.0154958677686,0.227272727273,0.25
180.0,720.0,-1e+200,-3.71,-7.02,-180.0,-1.23431677832e+14,nan,-1.23431677832e+14,-1.23431677832e+14,-1.23431677832e+14,-1.23431677832e+14,-1.23431677832e+14,1.0,nan,0.136363636364,85,3.18845015815e-09,0.0077479338843,0.227272727273,0.25
360.0,60.0,-1e+200,-3.71,-7.02,-180.0,-2.54685883117e+14,nan,-2.54685883117e+14,-2.54685883117e+14,-2.54685883117e+14,-2.54685883117e+14,-2.54685883117e+14,1.0,nan,0.0909090909091,86,3.18845015815e-09,0.00619834710744,0.272727272727,0.25
360.0,180.0,-1e+200,-3.71,-7.02,-180.0,-2.54686024483e+14,nan,-2.54686024483e+14,-2.54686024483e+14,-2.54686024483e+14,-2.54686024483e+14,-2.54686024483e+14,1.0,nan,0.227272727273,87,3.18845015815e-09,0.0154958677686,0.272727272727,0.25
360.0,360.0,-1e+200,-3.71,-7.02,-180.0,-2.54686236532e+14,nan,-2.54686236532e+14,-2.54686236532e+14,-2.54686236532e+14,-2.54686236532e+14,-2.54686236532e+14,1.0,nan,0.272727272727,88,3.18845015815e-09,0.0185950413223,0.272727272727,0.25
360.0,540.0,-1e+200,-3.71,-7.02,-180.0,-2.54686448581e+14,nan,-2.54686448581e+14,-2.54686448581e+14,-2.54686448581e+14,-2.54686448581e+14,-2.54686448581e+14,1.0,nan,0.272727272727,89,3.18845015815e-09,0.0185950413223,0.272727272727,0.25
360.0,720.0,-1e+200,-3.71,-7.02,-180.0,-2.5468666063e+14,nan,-2.5468666063e+14,-2.5468666063e+14,-2.5468666063e+14,-2.5468666063e+14,-2.5468666063e+14,1.0,nan,0.136363636364,90,3.18845015815e-09,0.00929752066116,0.272727272727,0.25
540.0,60.0,-1e+200,-3.71,-7.02,-180.0,-3.85940865915e+14,nan,-3.85940865915e+14,-3.85940865915e+14,-3.85940865915e+14,-3.85940865915e+14,-3.85940865915e+14,1.0,nan,0.0909090909091,91,3.18845015815e-09,0.00619834710744,0.272727272727,0.25
540.0,180.0,-1e+200,-3.71,-7.02,-180.0,-3.85941007281e+14,nan,-3.85941007281e+14,-3.85941007281e+14,-3.85941007281e+14,-3.85941007281e+14,-3.85941007281e+14,1.0,nan,0.227272727273,92,3.18845015815e-09,0.0154958677686,0.272727272727,0.25
540.0,360.0,-1e+200,-3.71,-7.02,-180.0,-3.8594121933e+14,nan,-3.8594121933e+14,-3.8594121933e+14,-3.8594121933e+14,-3.8594121933e+14,-3.8594121933e+14,1.0,nan,0.272727272727,93,3.18845015815e-09,0.0185950413223,0.272727272727,0.25
540.0,540.0,-1e+200,-3.71,-7.02,-180.0,-3.85941431379e+14,nan,-3.85941431379e+14,-3.85941431379e+14,-3.85941431379e+14,-3.85941431379e+14,-3.85941431379e+14,1.0,nan,0.272727272727,94,3.18845015815e-09,0.0185950413223,0.272727272727,0.25
