smr_capacity,solar_capacity,electricity_export_capacity,industry_demand_thermal_capacity,industry_demand_electricity_capacity,desalination_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-solar_capacity,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-smr_capacity,ProbabilityWeight-desalination_capacity
60.0,60.0,-1e+200,-3.71,-7.02,-720.0,-3.59275965743e+13,nan,-3.59275965743e+13,-3.59275965743e+13,-3.59275965743e+13,-3.59275965743e+13,-3.59275965743e+13,1.0,nan,0.0909090909091,1,3.18845015815e-09,0.00103305785124,0.0909090909091,0.125
60.0,180.0,-1e+200,-3.71,-7.02,-720.0,-3.59277379404e+13,nan,-3.59277379404e+13,-3.59277379404e+13,-3.59277379404e+13,-3.59277379404e+13,-3.59277379404e+13,1.0,nan,0.227272727273,2,3.18845015815e-09,0.0025826446281,0.0909090909091,0.125
60.0,360.0,-1e+200,-3.71,-7.02,-720.0,-3.59279499896e+13,nan,-3.59279499896e+13,-3.59279499896e+13,-3.59279499896e+13,-3.59279499896e+13,-3.59279499896e+13,1.0,nan,0.272727272727,3,3.18845015815e-09,0.00309917355372,0.0909090909091,0.125
60.0,540.0,-1e+200,-3.71,-7.02,-720.0,-3.59281620387e+13,nan,-3.59281620387e+13,-3.59281620387e+13,-3.59281620387e+13,-3.59281620387e+13,-3.59281620387e+13,1.0,nan,0.272727272727,4,3.18845015815e-09,0.00309917355372,0.0909090909091,0.125
60.0,720.0,-1e+200,-3.71,-7.02,-720.0,-3.59283740879e+13,nan,-3.59283740879e+13,-3.59283740879e+13,-3.59283740879e+13,-3.59283740879e+13,-3.59283740879e+13,1.0,nan,0.136363636364,5,3.18845015815e-09,0.00154958677686,0.0909090909091,0.125
180.0,60.0,-1e+200,-3.71,-7.02,-720.0,-1.2343091844e+14,nan,-1.2343091844e+14,-1.2343091844e+14,-1.2343091844e+14,-1.2343091844e+14,-1.2343091844e+14,1.0,nan,0.0909090909091,6,3.18845015815e-09,0.0025826446281,0.227272727273,0.125
180.0,180.0,-1e+200,-3.71,-7.02,-720.0,-1.23431059806e+14,nan,-1.23431059806e+14,-1.23431059806e+14,-1.23431059806e+14,-1.23431059806e+14,-1.23431059806e+14,1.0,nan,0.227272727273,7,3.18845015815e-09,0.00645661157025,0.227272727273,0.125
180.0,360.0,-1e+200,-3.71,-7.02,-720.0,-1.23431271855e+14,nan,-1.23431271855e+14,-1.23431271855e+14,-1.23431271855e+14,-1.23431271855e+14,-1.23431271855e+14,1.0,nan,0.272727272727,8,3.18845015815e-09,0.0077479338843,0.227272727273,0.125
180.0,540.0,-1e+200,-3.71,-7.02,-720.0,-1.23431483904e+14,nan,-1.23431483904e+14,-1.23431483904e+14,-1.23431483904e+14,-1.23431483904e+14,-1.23431483904e+14,1.0,nan,0.272727272727,9,3.18845015815e-09,0.0077479338843,0.227272727273,0.125
180.0,720.0,-1e+200,-3.71,-7.02,-720.0,-1.23431695953e+14,nan,-1.23431695953e+14,-1.23431695953e+14,-1.23431695953e+14,-1.23431695953e+14,-1.23431695953e+14,1.0,nan,0.136363636364,10,3.18845015815e-09,0.00387396694215,0.227272727273,0.125
360.0,60.0,-1e+200,-3.71,-7.02,-720.0,-2.54685901238e+14,nan,-2.54685901238e+14,-2.54685901238e+14,-2.54685901238e+14,-2.54685901238e+14,-2.54685901238e+14,1.0,nan,0.0909090909091,11,3.18845015815e-09,0.00309917355372,0.272727272727,0.125
360.0,180.0,-1e+200,-3.71,-7.02,-720.0,-2.54686042604e+14,nan,-2.54686042604e+14,-2.54686042604e+14,-2.54686042604e+14,-2.54686042604e+14,-2.54686042604e+14,1.0,nan,0.227272727273,12,3.18845015815e-09,0.0077479338843,0.272727272727,0.125
360.0,360.0,-1e+200,-3.71,-7.02,-720.0,-2.54686254653e+14,nan,-2.54686254653e+14,-2.54686254653e+14,-2.54686254653e+14,-2.54686254653e+14,-2.54686254653e+14,1.0,nan,0.272727272727,13,3.18845015815e-09,0.00929752066116,0.272727272727,0.125
360.0,540.0,-1e+200,-3.71,-7.02,-720.0,-2.54686466702e+14,nan,-2.54686466702e+14,-2.54686466702e+14,-2.54686466702e+14,-2.54686466702e+14,-2.54686466702e+14,1.0,nan,0.272727272727,14,3.18845015815e-09,0.00929752066116,0.272727272727,0.125
360.0,720.0,-1e+200,-3.71,-7.02,-720.0,-2.54686678751e+14,nan,-2.54686678751e+14,-2.54686678751e+14,-2.54686678751e+14,-2.54686678751e+14,-2.54686678751e+14,1.0,nan,0.136363636364,15,3.18845015815e-09,0.00464876033058,0.272727272727,0.125
540.0,60.0,-1e+200,-3.71,-7.02,-720.0,-3.85940884036e+14,nan,-3.85940884036e+14,-3.85940884036e+14,-3.85940884036e+14,-3.85940884036e+14,-3.85940884036e+14,1.0,nan,0.0909090909091,16,3.18845015815e-09,0.00309917355372,0.272727272727,0.125
540.0,180.0,-1e+200,-3.71,-7.02,-720.0,-3.85941025402e+14,nan,-3.85941025402e+14,-3.85941025402e+14,-3.85941025402e+14,-3.85941025402e+14,-3.85941025402e+14,1.0,nan,0.227272727273,17,3.18845015815e-09,0.0077479338843,0.272727272727,0.125
540.0,360.0,-1e+200,-3.71,-7.02,-720.0,-3.85941237451e+14,nan,-3.85941237451e+14,-3.85941237451e+14,-3.85941237451e+14,-3.85941237451e+14,-3.85941237451e+14,1.0,nan,0.272727272727,18,3.18845015815e-09,0.00929752066116,0.272727272727,0.125
540.0,540.0,-1e+200,-3.71,-7.02,-720.0,-3.859414495e+14,nan,-3.859414495e+14,-3.859414495e+14,-3.859414495e+14,-3.859414495e+14,-3.859414495e+14,1.0,nan,0.272727272727,19,3.18845015815e-09,0.00929752066116,0.272727272727,0.125
540.0,720.0,-1e+200,-3.71,-7.02,-720.0,-3.85941661549e+14,nan,-3.85941661549e+14,-3.85941661549e+14,-3.85941661549e+14,-3.85941661549e+14,-3.85941661549e+14,1.0,nan,0.136363636364,20,3.18845015815e-09,0.00464876033058,0.272727272727,0.125
720.0,60.0,-1e+200,-3.71,-7.02,-720.0,-5.17195866834e+14,nan,-5.17195866834e+14,-5.17195866834e+14,-5.17195866834e+14,-5.17195866834e+14,-5.17195866834e+14,1.0,nan,0.0909090909091,21,3.18845015815e-09,0.00154958677686,0.136363636364,0.125
720.0,180.0,-1e+200,-3.71,-7.02,-720.0,-5.171960082e+14,nan,-5.171960082e+14,-5.171960082e+14,-5.171960082e+14,-5.171960082e+14,-5.171960082e+14,1.0,nan,0.227272727273,22,3.18845015815e-09,0.00387396694215,0.136363636364,0.125
720.0,360.0,-1e+200,-3.71,-7.02,-720.0,-5.17196220249e+14,nan,-5.17196220249e+14,-5.17196220249e+14,-5.17196220249e+14,-5.17196220249e+14,-5.17196220249e+14,1.0,nan,0.272727272727,23,3.18845015815e-09,0.00464876033058,0.136363636364,0.125
