diesel_generator_capacity,grid_capacity,industry_demand_thermal_capacity,industry_demand_electricity_capacity,desalination_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-desalination_capacity,ProbabilityWeight-diesel_generator_capacity,prefix,ProbabilityWeight,PointProbability
60.0,-1e+200,-3.71,-7.02,-180.0,-353275019.093,0.0,-353275019.093,-353275019.093,-353275019.093,-353275019.093,-353275019.093,2.0,0.0,0.25,0.0909090909091,16,0.0227272727273,2.10437710438e-06
180.0,-1e+200,-3.71,-7.02,-180.0,-440199277.027,0.0,-440199277.027,-440199277.027,-440199277.027,-440199277.027,-440199277.027,2.0,0.0,0.25,0.227272727273,17,0.0568181818182,2.10437710438e-06
360.0,-1e+200,-3.71,-7.02,-180.0,-570585663.929,0.0,-570585663.929,-570585663.929,-570585663.929,-570585663.929,-570585663.929,2.0,0.0,0.25,0.272727272727,18,0.0681818181818,2.10437710438e-06
540.0,-1e+200,-3.71,-7.02,-180.0,-700972050.831,0.0,-700972050.831,-700972050.831,-700972050.831,-700972050.831,-700972050.831,2.0,0.0,0.25,0.272727272727,19,0.0681818181818,2.10437710438e-06
720.0,-1e+200,-3.71,-7.02,-180.0,-831358437.733,0.0,-831358437.733,-831358437.733,-831358437.733,-831358437.733,-831358437.733,2.0,0.0,0.25,0.136363636364,20,0.0340909090909,2.10437710438e-06
60.0,-1e+200,-3.71,-7.02,0.0,-332956547.374,0.0,-332956547.374,-332956547.374,-332956547.374,-332956547.374,-332956547.374,2.0,0.0,0.125,0.0909090909091,21,0.0113636363636,2.10437710438e-06
180.0,-1e+200,-3.71,-7.02,0.0,-419880805.308,0.0,-419880805.308,-419880805.308,-419880805.308,-419880805.308,-419880805.308,2.0,0.0,0.125,0.227272727273,22,0.0284090909091,2.10437710438e-06
360.0,-1e+200,-3.71,-7.02,0.0,-550267192.21,0.0,-550267192.21,-550267192.21,-550267192.21,-550267192.21,-550267192.21,2.0,0.0,0.125,0.272727272727,23,0.0340909090909,2.10437710438e-06
540.0,-1e+200,-3.71,-7.02,0.0,-680653579.112,0.0,-680653579.112,-680653579.112,-680653579.112,-680653579.112,-680653579.112,2.0,0.0,0.125,0.272727272727,24,0.0340909090909,2.10437710438e-06
720.0,-1e+200,-3.71,-7.02,0.0,-811039966.013,0.0,-811039966.013,-811039966.013,-811039966.013,-811039966.013,-811039966.013,2.0,0.0,0.125,0.136363636364,25,0.0170454545455,2.10437710438e-06
