diesel_generator_capacity,grid_capacity,industry_demand_thermal_capacity,industry_demand_electricity_capacity,desalination_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-desalination_capacity,prefix,PointProbability,ProbabilityWeight-diesel_generator_capacity,ProbabilityWeight
50.0,1e+200,-186.45,-357.0,10.0,-398721.388498,0.22643410043,-398721.300936,-398721.21892,-398721.645638,-398721.611168,-398721.227121,3.0,0.0512724018375,0.299959991998,1,1.00270680703e-09,0.0062656641604,0.00187944857142
300.0,1e+200,-186.45,-357.0,10.0,-613542.327971,0.20667837382,-613542.342563,-613542.114383,-613542.526967,-613542.508526,-613542.137201,3.0,0.0427159502048,0.299959991998,2,1.00270680703e-09,0.0238095238095,0.00714190457139
1000.0,1e+200,-186.45,-357.0,10.0,-1215039.85209,0.136473169647,-1215039.8196,-1215039.7348,-1215040.00188,-1215039.98365,-1215039.74328,3.0,0.0186249260334,0.299959991998,3,1.00270680703e-09,0.117794486216,0.0353336331427
20000.0,1e+200,-186.45,-357.0,10.0,-17541409.4025,0.0282711016258,-17541409.4127,-17541409.3705,-17541409.4242,-17541409.4231,-17541409.3747,3.0,0.000799255187134,0.299959991998,6,1.00270680703e-09,0.250626566416,0.0751779428567
10000.0,1e+200,-186.45,-357.0,10.0,-8948583.30328,0.221287626967,-8948583.1805,-8948583.17059,-8948583.55873,-8948583.52091,-8948583.17158,3.0,0.0489682138488,0.299959991998,5,1.00270680703e-09,0.375939849624,0.112766914285
5000.0,1e+200,-186.45,-357.0,10.0,-4652170.40872,0.0914543686348,-4652170.36613,-4652170.34633,-4652170.5137,-4652170.49895,-4652170.34831,3.0,0.00836390154238,0.299959991998,4,1.00270680703e-09,0.225563909774,0.0676601485711
1000.0,1e+200,-186.45,-357.0,30000.0,-14918450.9938,0.188419656931,-14918451.052,-14918450.7832,-14918451.1463,-14918451.1368,-14918450.81,3.0,0.035501967118,0.5,9,1.00270680703e-09,0.117794486216,0.0588972431078
300.0,1e+200,-186.45,-357.0,30000.0,-14316953.097,0.108379048991,-14316953.1381,-14316952.9741,-14316953.1789,-14316953.1748,-14316952.9905,3.0,0.0117460182602,0.5,8,1.00270680703e-09,0.0238095238095,0.0119047619048
50.0,1e+200,-186.45,-357.0,30000.0,-14102132.4609,0.121210926186,-14102132.4605,-14102132.3399,-14102132.5823,-14102132.5702,-14102132.352,3.0,0.0146920886269,0.5,7,1.00270680703e-09,0.0062656641604,0.0031328320802
20000.0,1e+200,-186.45,-357.0,30000.0,-31244820.5202,0.140880349007,-31244820.5542,-31244820.3654,-31244820.6409,-31244820.6322,-31244820.3843,3.0,0.0198472727364,0.5,12,1.00270680703e-09,0.250626566416,0.125313283208
5000.0,1e+200,-186.45,-357.0,30000.0,-18355581.3884,0.135494611584,-18355581.4227,-18355581.239,-18355581.5034,-18355581.4953,-18355581.2574,3.0,0.0183587897682,0.5,10,1.00270680703e-09,0.225563909774,0.112781954887
10000.0,1e+200,-186.45,-357.0,30000.0,-22651994.6147,0.119499443448,-22651994.5804,-22651994.5162,-22651994.7476,-22651994.7309,-22651994.5226,3.0,0.0142801169843,0.5,11,1.00270680703e-09,0.375939849624,0.187969924812
50.0,1e+200,-186.45,-357.0,50000.0,-17827514.5419,0.235783858378,-17827514.6201,-17827514.277,-17827514.7287,-17827514.7178,-17827514.3113,3.0,0.0555940278715,0.200040008002,13,1.00270680703e-09,0.0062656641604,0.00125338350878
300.0,1e+200,-186.45,-357.0,50000.0,-18042335.4108,0.0800778538895,-18042335.3898,-18042335.3433,-18042335.4993,-18042335.4883,-18042335.348,3.0,0.00641246268355,0.200040008002,14,1.00270680703e-09,0.0238095238095,0.00476285733337
1000.0,1e+200,-186.45,-357.0,50000.0,-18643833.0298,0.165833698417,-18643833.0346,-18643832.8616,-18643833.1932,-18643833.1773,-18643832.8789,3.0,0.0275008155306,0.200040008002,15,1.00270680703e-09,0.117794486216,0.0235636099651
5000.0,1e+200,-186.45,-357.0,50000.0,-22080963.3117,0.227591645852,-22080963.3967,-22080963.0539,-22080963.4846,-22080963.4758,-22080963.0882,3.0,0.0517979572615,0.200040008002,16,1.00270680703e-09,0.225563909774,0.0451218063162
10000.0,1e+200,-186.45,-357.0,50000.0,-26377376.3451,0.14409529642,-26377376.3887,-26377376.1843,-26377376.4624,-26377376.455,-26377376.2047,3.0,0.0207634544504,0.200040008002,17,1.00270680703e-09,0.375939849624,0.0752030105269
20000.0,1e+200,-186.45,-357.0,50000.0,-34970202.4407,0.0673848508148,-34970202.421,-34970202.3854,-34970202.5158,-34970202.5063,-34970202.389,3.0,0.00454071811933,0.200040008002,18,1.00270680703e-09,0.250626566416,0.0501353403513
